turn,control_entering_rah_median,raw_entering_rah_median,raw_minus_control_entering_rah_median,raw_over_control_entering_rah_median,control_hjb_converged_count,raw_hjb_converged_count,control_hjb_statistic_max,raw_hjb_statistic_max,control_consumption_median,raw_consumption_median,control_illiquid_drift_abs_max,raw_illiquid_drift_abs_max,control_liquid_drift_abs_max,raw_liquid_drift_abs_max,control_nonfinite_count,raw_nonfinite_count,control_capital_residual_abs_max,raw_capital_residual_abs_max,control_c1_residual_abs_max,raw_c1_residual_abs_max
2,0.09,0.477562385005335,0.387562385005335,5.3062487222815005,13,4,2.409349431122121,403.687024399525,9.731954793790614,8.821015332254097,59493.469741588546,1927160.9660954983,373568170.5538195,415089253296.65375,0,0,1.862645149230957e-09,2.7939677238464355e-09,0.0,0.0
3,0.09,0.5064448418905718,0.41644484189057185,5.627164909895242,13,4,0.4674884890777189,98.85601306881138,9.792672121921616,9.601276636508002,828009.314011527,2736214.874617024,100202397093.12012,1293188164448.144,0,0,3.725290298461914e-09,1.862645149230957e-09,3.725290298461914e-09,7.450580596923828e-09
4,0.09,0.5048101051615574,0.4148101051615575,5.60900116846175,12,4,1.1751890992262144,152.68121199606438,9.651803389520461,12.02454469948322,483938.1487202436,250315.5173880078,27810441357.01164,10822778166.053732,0,0,2.7939677238464355e-09,1.3969838619232178e-09,1.4901161193847656e-08,0.0
5,0.09,0.5031773640727015,0.41317736407270156,5.590859600807795,11,0,17.99500368390522,297.01920346775614,10.10236402105669,10.620137932526726,92869.99178842336,2240002.870556009,1170599837.8572273,635566514819.113,0,0,5.587935447692871e-09,1.862645149230957e-09,9.313225746154785e-10,7.450580596923828e-09
