turn,province_index,province,converged,ceiling_hit,iterations,initial_statistic,final_statistic,final_to_initial_ratio,last20_final_to_initial_ratio,last20_decrease_fraction,last20_range,last20_coefficient_of_variation,last20_two_step_to_one_step_median,last20_policy_switch_median,last20_two_step_reversion_median,first_policy_switch_iteration,first_two_step_reversion_iteration,first_value_nondec_iteration,first_derivative_floor_hit_iteration,first_negative_offdiagonal_iteration,first_nonzero_row_sum_defect_iteration,derivative_floor_share_first,derivative_floor_share_final,minimum_offdiagonal_all_iterations,maximum_row_sum_defect_all_iterations,linear_solve_residual_first,linear_solve_residual_final,linear_solve_residual_max,raw_entering_r_a,consumed_r_a,return_guard_state,consumed_household_composite_wage,guarded_wjt,wage_guard_state,accepted_output_exact,final_operator_exact
1,0,北京,True,False,17,0.4234185987439627,8.547302199346518e-09,2.0186411803122026e-08,2.0186411803122026e-08,0.75,0.4234185901966605,1.7232164224472584,2.7728516601213453,26.5,1.0,2,3,3,6,3,1,0.0,0.0,-5.209018221293567,0.006613770033187583,6.127043317150083e-14,2.631228568361621e-14,1.1096997105941586e-10,0.07859282907432666,0.07859282907432666,NOT_APPLIED_BOOTSTRAP,18.319859030118984,1.3,UPPER,True,True
1,1,天津,True,False,27,0.4252974437314072,3.770028733640629e-11,8.864451901153577e-11,1.317861960104128e-09,0.7894736842105263,0.033074444141516945,1.0964555309118926,2.1701774403150917,42.5,1.5,2,3,3,6,3,1,0.0,0.0,-5.206132400868091,0.004510294134914827,4.394401509344448e-14,2.590982983718959e-14,7.247074468308412e-12,0.06490365475420734,0.06490365475420734,NOT_APPLIED_BOOTSTRAP,18.198003011640164,1.3,UPPER,True,True
1,2,河北,True,False,35,0.4282358889501432,2.8269918406209626e-08,6.601482765845651e-08,3.2108859203656943e-07,0.7894736842105263,0.11506554789623968,1.1510669109518168,2.339804922121533,15.0,1.5,2,3,3,5,3,1,0.0,0.0,-5.344136548422974,0.007993250211016156,5.2284565565940966e-14,2.0344836926255994e-14,0.00577483786636579,0.08640803056619092,0.08640803056619092,NOT_APPLIED_BOOTSTRAP,18.121763089356133,1.3,UPPER,True,True
1,3,山西,True,False,49,0.42643828556842145,2.10115258525434e-10,4.927213752521319e-10,1.1665081437203904e-08,0.6842105263157895,0.333076761176214,1.5073417989048088,2.33314376748157,12.0,0.0,2,3,3,5,3,1,0.0,0.0025,-5.379483289889735,0.007998810425323521,4.7357950894166834e-14,6.798667531726643e-13,3.167062376257905e-06,0.08643576394514026,0.08643576394514026,NOT_APPLIED_BOOTSTRAP,18.203099062044032,1.3,UPPER,True,True
1,4,内蒙古,True,False,26,0.43848747027101886,4.778821782736031e-11,1.089842266138723e-10,1.2183796291269875e-09,0.8421052631578947,0.040890131669995444,0.9011557615653353,2.0110493521366073,119.0,4.0,2,3,3,7,3,1,0.0,0.0,-5.493572914173157,0.00581430765948987,8.017891905964802e-14,4.443667656062189e-14,1.472144801895059e-11,0.07370607384987489,0.07370607384987489,NOT_APPLIED_BOOTSTRAP,17.638053822269907,1.3,UPPER,True,True
1,5,辽宁,True,False,15,0.4616012581935327,4.6158866284784494e-08,9.999727137968881e-08,9.999727137968881e-08,0.7857142857142857,0.4616012120346664,1.6262360323304368,3.431596300000453,42.0,2.0,2,3,3,6,3,1,0.0,0.0,-5.254985940750559,0.007288052811344203,6.212391712168142e-14,3.502753642692369e-14,9.89017461677788e-13,0.08254889155973023,0.08254889155973023,NOT_APPLIED_BOOTSTRAP,16.72579387534917,1.3,UPPER,True,True
1,6,吉林,True,False,15,0.4815578650672965,3.5706573253690976e-09,7.414804293291124e-09,7.414804293291124e-09,0.7142857142857143,0.48155786149663915,1.5942648454326453,4.15185991023122,183.5,11.0,2,3,3,7,3,1,0.0,0.0,-5.3475607000478735,0.006613162570131337,7.682743330406083e-14,2.2176704916887502e-14,7.300536043752803e-13,0.0786566974876448,0.0786566974876448,NOT_APPLIED_BOOTSTRAP,15.98491210464971,1.3,UPPER,True,True
1,7,黑龙江,True,False,13,0.5193070931279888,7.462075846120797e-09,1.4369293130917601e-08,1.4369293130917601e-08,0.8333333333333334,0.519307085665913,1.5123963115188694,5.243150781188298,102.5,12.0,2,3,3,,3,1,0.0,0.0,-5.421970408444044,0.007692634887121408,7.36286032143596e-14,2.167710455580618e-14,8.421041641781812e-14,0.08488059053640952,0.08488059053640952,NOT_APPLIED_BOOTSTRAP,14.782111996765861,1.3,UPPER,True,True
1,8,上海,True,False,18,0.42973903915308265,3.760773470418144e-09,8.75129585115136e-09,8.75129585115136e-09,0.7647058823529411,0.4297390353923092,1.833202421832341,2.807780822671703,10.0,2.0,2,3,3,6,3,1,0.0,0.0,-5.219288354846995,0.006620642103556451,8.414102747877905e-14,2.5979218776228663e-14,1.3567748313736416e-10,0.0786410648427616,0.0786410648427616,NOT_APPLIED_BOOTSTRAP,18.0332764190634,1.3,UPPER,True,True
1,9,江苏,True,False,17,0.42423948471954587,4.77480961436072e-08,1.1254986361105043e-07,1.1254986361105043e-07,0.75,0.4242394369714497,1.8259555669999084,3.1280154437149026,21.5,0.0,2,3,3,7,3,1,0.0,0.0,-5.489630878385668,0.0069262419694105515,4.734407310635902e-14,2.967071033310731e-14,1.088118310732522e-12,0.08042908909180554,0.08042908909180554,NOT_APPLIED_BOOTSTRAP,18.287049574345293,1.3,UPPER,True,True
