turn,province_index,province,Ktarget_2018_MU,Kt_supply_private_MU,GovInv_before_MU,GovInv_after_MU,firm_K_total_MU,private_K_over_Ktarget,GovInv_before_over_Ktarget,GovInv_after_over_Ktarget,firm_K_total_over_Ktarget,firm_ra0,firm_ra_used,household_rah,firm_wage_raw,firm_wage_used,A,B,L,C,nk_gap,yt_gap,GDP_level_gap,Zt_before,Zt_after,govinv_action,adaptation_gate_open
1,0,北京,58719043.066994764,213805.18523752742,58505237.88175724,58505237.88175724,58719043.066994764,0.003641155817093086,0.9963588441829069,0.9963588441829069,1.0,0.9645303327953562,0.09,0.07859282907432666,3.840367512162725,1.3,7.2814135433904825,4.6948401791657695,0.6639444000102773,10.832654252332844,2.645763195640841,1.3109740639222616,1.3109740639222616,2.437920774687262,2.437920774687262,NONE,False
1,1,天津,64593598.72309723,211034.53168273813,64382564.19141449,64382564.19141449,64593598.72309723,0.003267112157466416,0.9967328878425336,0.9967328878425336,1.0,0.3665893670146143,0.09,0.06490365475420734,1.6515039218037126,1.3,7.27985472108661,4.700013574015612,0.674477675724933,11.103693258342576,2.961808682160987,1.6155958172537193,1.6155958172537193,1.034748432816036,1.034748432816036,NONE,False
1,2,河北,113705229.18254791,213287.10621640403,113491942.07633151,113491942.07633151,113705229.18254791,0.0018757897745756487,0.9981242102254244,0.9981242102254244,1.0,0.3295641733702322,0.09,0.08640803056619092,2.563830397533021,1.3,7.285540421362414,4.689053727683108,0.6601134967866474,10.558430329101128,5.792649764908337,0.6958771067784411,0.6958771067784411,1.067338636199028,1.067338636199028,NONE,False
1,3,山西,53478727.38884524,217445.6554917545,53261281.73335349,53261281.73335349,53478727.38884524,0.004066021502544393,0.9959339784974556,0.9959339784974556,1.0,0.4263907062621223,0.09,0.08643576394514026,1.5372770273999365,1.3,7.284866502416373,4.689527842212533,0.6596120927891331,10.597839877871897,2.1992214645309556,1.0641078037240366,1.0641078037240366,1.1136984900932783,1.1136984900932783,NONE,False
1,4,内蒙古,82165502.99427319,209594.86340788676,81955908.1308653,81955908.1308653,82165502.99427319,0.0025508863911232337,0.9974491136088769,0.9974491136088769,1.0,0.2961838594568849,0.09,0.07370607384987489,1.716273839247276,1.3,7.290695301981074,4.694635423943938,0.6719414867687957,10.616873173331285,4.024596251726135,1.2603399135039592,1.2603399135039592,0.9036347315500086,0.9036347315500086,NONE,False
1,5,辽宁,90061052.78222083,211735.20840679316,89849317.57381403,89849317.57381403,90061052.78222083,0.002351018579793821,0.9976489814202062,0.9976489814202062,1.0,0.3451706684814465,0.09,0.08254889155973023,2.1747946124035207,1.3,7.2972863401635415,4.682902434745981,0.6713203024088547,9.949935463621017,4.519008030619599,0.9448290062185114,0.9448290062185114,1.0589248653382726,1.0589248653382726,NONE,False
1,6,吉林,66308917.7271201,212851.0285043764,66096066.69861572,66096066.69861572,66308917.7271201,0.003209990990658578,0.9967900090093413,0.9967900090093413,1.0,0.2502570646414367,0.09,0.0786566974876448,1.1893962923482995,1.1893962923482995,7.306324473833281,4.681257646550685,0.6791781246847705,9.665849490645694,3.0784516264921225,1.2420270932695647,1.2420270932695647,0.7331983987589327,0.7331983987589327,NONE,False
1,7,黑龙江,58424879.89838116,216092.14282312893,58208787.75555803,58208787.75555803,58424879.89838116,0.003698632212834321,0.9963013677871657,0.9963013677871657,1.0,0.30504659658446637,0.09,0.08488059053640952,1.2775992877170088,1.2775992877170088,7.319571303590979,4.668183103556843,0.6836297374851197,8.926366475532,2.63633748669804,1.0704163091281762,1.0704163091281762,0.8512301435859188,0.8512301435859188,NONE,False
1,8,上海,66125294.30800852,212894.61965239004,65912399.68835613,65912399.68835613,66125294.30800852,0.0032195640394542045,0.9967804359605458,0.9967804359605458,1.0,0.8992913814531691,0.09,0.0786410648427616,4.027426113595344,1.3,7.284165435653269,4.69322945058422,0.6656559065380905,10.689503573854708,3.0932046513694003,1.2404104859537046,1.2404104859537046,2.353254580746131,2.353254580746131,NONE,False
1,9,江苏,203535217.25929242,197491.38772618957,203337725.87156624,203337725.87156624,203535217.25929242,0.0009703057307993861,0.9990296942692006,0.9990296942692006,1.0,0.5336284710994464,0.09,0.08042908909180554,7.413379714079513,1.3,7.281748896323775,4.693511506563083,0.6628712791095902,10.772692990875354,11.466311078125955,0.6289804811565505,0.6289804811565505,1.9260565786278652,1.9260565786278652,NONE,False
