stage,turn,province_index,province,HJB_converged,HJB_iterations,HJB_statistic,HJB_classification
OUTER_TRAJECTORY,2,1,天津,True,21,6.116429585034666e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,2,河北,False,100,0.311979329614007,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,3,山西,True,65,4.097108652345582e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,4,内蒙古,True,26,1.6382175171969493e-08,HJB_CONVERGED
OUTER_TRAJECTORY,2,5,辽宁,True,33,2.3450306141370447e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,6,吉林,True,28,1.0630962776758679e-10,HJB_CONVERGED
OUTER_TRAJECTORY,2,7,黑龙江,True,14,9.833911462919787e-11,HJB_CONVERGED
OUTER_TRAJECTORY,2,8,上海,False,100,0.7580832997847147,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,9,江苏,True,17,3.2242120084902126e-10,HJB_CONVERGED
OUTER_TRAJECTORY,2,10,浙江,True,14,5.0470447821027165e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,11,安徽,False,100,0.006402964078555895,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,12,福建,True,15,6.56580640967519e-08,HJB_CONVERGED
OUTER_TRAJECTORY,2,13,江西,False,100,1.0918656803704756,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,14,山东,True,14,7.0177998967579924e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,15,河南,False,100,0.004836219204534586,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,16,湖北,False,100,0.019383714021625087,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,17,湖南,True,58,8.65155347362645e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,18,广东,True,14,2.7534730051570477e-10,HJB_CONVERGED
OUTER_TRAJECTORY,2,19,广西,True,13,3.492097278012807e-08,HJB_CONVERGED
OUTER_TRAJECTORY,2,20,海南,True,13,1.8046032668195267e-08,HJB_CONVERGED
OUTER_TRAJECTORY,2,21,重庆,True,14,9.392304711752786e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,22,四川,False,100,0.037554754028450876,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,23,贵州,False,100,1.2051114769108193,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,24,云南,True,13,2.2698103396834313e-08,HJB_CONVERGED
OUTER_TRAJECTORY,2,25,西藏,True,13,9.462907346602378e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,26,陕西,True,14,5.7006146469973373e-08,HJB_CONVERGED
OUTER_TRAJECTORY,2,27,甘肃,True,99,1.0711653786188435e-10,HJB_CONVERGED
