step,index_0,index_1,name,mt,ra0,wt0,ra,wjt,rk,divrate,Zt_used,Zt_after,GovInv_used,GovInv_after,Zt_changed,GovInv_ratio,Yt,Kt,Lt_supply,Y_over_K,Kt_supply_derived,alpha,N,Kt0,Zt_init,production_identity_pass,nk_gap,yt_gap,Y_over_target,z_reset_candidate,provenance,raw_price_gap,gate,expected_gov_multiplier,inferred_ra_trigger,captured_action_class,enabled_action_is_source_multiplier,gov_expectation_matches,zt_expectation_matches,action_evidence
1,10,11,浙江,,,,,,,,0.0004481765543902068,0.0004481765543902068,98142144.3554609,98142144.3554609,False,1.0,19171.891715536713,98236726.70582531,2527239.832754579,0.00019516012349381185,94582.35036441684,0.772866243094144,369100.0,98142144.3554609,0.0004481765543902068,True,11.957051065833042,0.9996694663275878,0.00033053367241219075,1.3559179950395794,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,11,12,安徽,,,,,,,,0.000641551386937363,0.000641551386937363,54313245.2543264,54313245.2543264,False,1.0,17484.890330111644,54413445.073219396,2592321.7950238893,0.0003213340068173181,100199.81889299303,0.772866243094144,438530.0,54313245.2543264,0.000641551386937363,True,5.9967451800247344,0.9994859034842022,0.0005140965157977732,1.2479201224342196,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,12,13,福建,,,,,,,,0.0007909691648437431,0.0007909691648437431,75562152.8770214,75562152.8770214,False,1.0,27661.98035506656,75657960.25524569,2531491.0728597105,0.00036561890198657105,95807.37822428346,0.772866243094144,279100.0,75562152.8770214,0.0007909691648437431,True,8.962239391424271,0.9992274061710615,0.0007725938289384818,1.023783953763271,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,13,14,江西,,,,,,,,0.0005972473033647159,0.0005972473033647159,38642602.7655129,38642602.7655129,False,1.0,12493.319449186267,38741707.72633658,2569068.623848572,0.0003224772520983456,99104.96082368493,0.772866243094144,229500.0,38642602.7655129,0.0005972473033647159,True,4.026686502480406,0.9994500453647407,0.0005499546352593329,1.0859937621638227,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,14,15,山东,,,,,,,,0.00033054728607754435,0.00033054728607754435,157288007.639664,157288007.639664,False,1.0,20396.82647429605,157378813.9137608,2551147.995243827,0.00012960338159285494,90806.27409681678,0.772866243094144,562100.0,157288007.639664,0.00033054728607754435,True,19.563136570564353,0.9996939659070845,0.00030603409291554457,1.080099550113734,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,15,16,河南,,,,,,,,0.0006181110089804474,0.0006181110089804474,128897630.76160501,128897630.76160501,False,1.0,32767.03602527848,128990644.25256982,2572132.937656715,0.0002540264545164924,93013.49096481502,0.772866243094144,499200.0,128897630.76160501,0.0006181110089804474,True,15.716430472172497,0.99934381805424,0.000656181945760034,0.941981127299243,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,16,17,湖北,,,,,,,,0.0006926198455034483,0.0006926198455034483,76781442.8482972,76781442.8482972,False,1.0,24591.355385062892,76878166.61791115,2562309.8611943843,0.00031987437353030705,96723.76961395144,0.772866243094144,358000.0,76781442.8482972,0.0006926198455034483,True,9.001154008500164,0.9994147973764886,0.0005852026235113528,1.1835556056593988,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,17,18,湖南,,,,,,,,0.0006933324069686307,0.0006933324069686307,64972845.9653664,64972845.9653664,False,1.0,21653.651452748592,65071045.42455103,2569317.162884298,0.0003327693801670314,98199.4591846317,0.772866243094144,373858.0,64972845.9653664,0.0006933324069686307,True,7.442067327531065,0.9994055404866348,0.0005944595133652208,1.1663240159850299,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,18,19,广东,,,,,,,,0.0009725027967433352,0.0009725027967433352,157153836.749134,157153836.749134,False,1.0,59775.787498601276,157246434.3044602,2514887.658903103,0.00038014081376792,92597.55532619357,0.772866243094144,696000.0,157153836.749134,0.0009725027967433352,True,19.842075357095016,0.9993855144140475,0.0006144855859524872,1.582629143751031,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,19,20,广西,,,,,,,,0.0006223369520165091,0.0006223369520165091,52819779.099576995,52819779.099576995,False,1.0,16532.569563540317,52917719.34754175,2546451.875885811,0.0003124202964031995,97940.2479647547,0.772866243094144,256200.0,52819779.099576995,0.0006223369520165091,True,5.926987291435819,0.9991576966781551,0.0008423033218448883,0.7388513566032374,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
