phase,point_id,I,J,da,db,rb,ra,wage,hjb_classification,iterations,final_statistic,maximum_A2max,first_illegal_iteration,kfe_ran,Ct,Lt,At,Bt,Bt_pos,Bt_neg,modal_a,modal_b,amin_mass,amax_mass,bmin_mass,bmax_mass,total_mass,kfe_residual,density_min,negative_count,a_classification,b_classification
REFERENCE,accepted_i020_j020,20,20,5.2631578947368425,1.1578947368421053,0.02,0.0675,15.5,HJB_CONVERGED,10,4.3042116537606034e-09,0.0015128765254773247,,True,13.390598980244727,0.6213645307498707,87.75417323082814,4.155471670682324,4.155471670682324,2.859193409529447e-19,[89.47368421052633],[2.6315789473684212],0.0,0.14305021595858766,-9.150914183792e-20,6.511042142674138e-34,0.9999999999999999,7.952622935181175e-17,-3.6375995189068095e-19,198,INTERIOR_A_DISTRIBUTION_CANDIDATE,B_INTERIOR_DISTRIBUTION_CANDIDATE
P1,p1_i020_j040,20,40,2.5641025641025643,1.1578947368421053,0.02,0.0675,15.5,HJB_CONVERGED,11,2.304627599869491e-10,0.0015128765254773247,,True,,,,,,,null,null,,,,,,,,,,
P1,p1_i020_j080,20,80,1.2658227848101267,1.1578947368421053,0.02,0.0675,15.5,HJB_CONVERGED,10,3.3535032306630796e-08,0.0015128765254773247,,True,,,,,,,null,null,,,,,,,,,,
P1,p1_i020_j160,20,160,0.6289308176100629,1.1578947368421053,0.02,0.0675,15.5,HJB_CONVERGED,16,2.2613111383407158e-10,0.0015128765254778798,,True,,,,,,,null,null,,,,,,,,,,
