stage,turn,province,HJB_converged,HJB_iterations,HJB_statistic,HJB_classification
OUTER_TRAJECTORY,1,陕西,True,77,7.931090162394128e-08,HJB_CONVERGED
OUTER_TRAJECTORY,1,甘肃,False,100,0.03481466673150879,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,青海,True,24,2.1059358923380955e-08,HJB_CONVERGED
OUTER_TRAJECTORY,1,宁夏,True,17,4.1642446380052434e-08,HJB_CONVERGED
OUTER_TRAJECTORY,1,新疆,True,15,6.1155787101085934e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,北京,True,50,2.2111734665486438e-10,HJB_CONVERGED
OUTER_TRAJECTORY,2,天津,True,21,6.116429585034666e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,河北,False,100,0.311979329614007,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,山西,True,65,4.097108652345582e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,内蒙古,True,26,1.6382175171969493e-08,HJB_CONVERGED
OUTER_TRAJECTORY,2,辽宁,True,33,2.3450306141370447e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,吉林,True,28,1.0630962776758679e-10,HJB_CONVERGED
OUTER_TRAJECTORY,2,黑龙江,True,14,9.833911462919787e-11,HJB_CONVERGED
OUTER_TRAJECTORY,2,上海,False,100,0.7580832997847147,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,江苏,True,17,3.2242120084902126e-10,HJB_CONVERGED
OUTER_TRAJECTORY,2,浙江,True,14,5.0470447821027165e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,安徽,False,100,0.006402964078555895,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,福建,True,15,6.56580640967519e-08,HJB_CONVERGED
OUTER_TRAJECTORY,2,江西,False,100,1.0918656803704756,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,山东,True,14,7.0177998967579924e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,河南,False,100,0.004836219204534586,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,湖北,False,100,0.019383714021625087,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,湖南,True,58,8.65155347362645e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,广东,True,14,2.7534730051570477e-10,HJB_CONVERGED
OUTER_TRAJECTORY,2,广西,True,13,3.492097278012807e-08,HJB_CONVERGED
OUTER_TRAJECTORY,2,海南,True,13,1.8046032668195267e-08,HJB_CONVERGED
OUTER_TRAJECTORY,2,重庆,True,14,9.392304711752786e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,四川,False,100,0.037554754028450876,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,贵州,False,100,1.2051114769108193,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,云南,True,13,2.2698103396834313e-08,HJB_CONVERGED
OUTER_TRAJECTORY,2,西藏,True,13,9.462907346602378e-09,HJB_CONVERGED
OUTER_TRAJECTORY,2,陕西,True,14,5.7006146469973373e-08,HJB_CONVERGED
OUTER_TRAJECTORY,2,甘肃,True,99,1.0711653786188435e-10,HJB_CONVERGED
OUTER_TRAJECTORY,2,青海,True,27,3.9706327115140994e-10,HJB_CONVERGED
OUTER_TRAJECTORY,2,宁夏,True,51,6.684846010074352e-10,HJB_CONVERGED
OUTER_TRAJECTORY,2,新疆,True,20,4.965931221789788e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,北京,True,26,2.7019103843173298e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,天津,True,21,9.404728107398341e-10,HJB_CONVERGED
OUTER_TRAJECTORY,3,河北,False,100,0.7128252846188556,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,山西,False,100,0.13762248385804776,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,内蒙古,True,27,9.85857395718881e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,辽宁,True,17,1.2032397300743014e-10,HJB_CONVERGED
OUTER_TRAJECTORY,3,吉林,True,25,7.554858560965272e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,黑龙江,True,13,1.056449860925568e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,上海,True,13,2.3933956150301583e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,江苏,True,16,1.4461045694247332e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,浙江,True,14,1.680911343449054e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,安徽,True,49,1.9494670766562194e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,福建,True,15,6.019082521291352e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,江西,False,100,0.00010841011911577603,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,山东,True,27,5.479601217217578e-10,HJB_CONVERGED
OUTER_TRAJECTORY,3,河南,False,100,0.24062100902044858,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,湖北,True,25,2.992877501384328e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,湖南,False,100,0.20390740744330826,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,广东,True,14,1.631187185324734e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,广西,True,13,7.068972740498225e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,海南,True,13,4.749956694638513e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,重庆,True,14,9.045629578707803e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,四川,False,100,0.18144734998315326,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,贵州,False,100,0.14942293535617246,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,云南,True,13,2.5566235795082548e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,西藏,True,14,1.426497586720643e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,陕西,True,14,8.399382056545335e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,甘肃,False,100,0.05179281919117429,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,青海,True,25,1.6398260527239472e-10,HJB_CONVERGED
OUTER_TRAJECTORY,3,宁夏,True,29,5.695198979083216e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,新疆,True,21,4.730505942518448e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,北京,False,100,2.393345860628378,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,天津,True,21,3.241940049747427e-10,HJB_CONVERGED
OUTER_TRAJECTORY,4,河北,False,100,0.01841371170917605,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,山西,False,100,0.07920301647475769,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,内蒙古,True,26,9.787954224904638e-09,HJB_CONVERGED
OUTER_TRAJECTORY,4,辽宁,False,100,0.0070309164979316385,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,吉林,True,25,6.65616290973503e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,黑龙江,True,13,1.0561067576020378e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,上海,True,13,3.060348308103755e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,江苏,True,16,1.4145475901727877e-09,HJB_CONVERGED
OUTER_TRAJECTORY,4,浙江,True,14,1.6436910055261933e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,安徽,False,100,0.6592361069535861,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,福建,True,15,5.947863312982804e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,江西,False,100,0.5443939697426674,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,山东,True,51,1.137710592402641e-09,HJB_CONVERGED
OUTER_TRAJECTORY,4,河南,False,100,0.0044559642804726796,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,湖北,True,32,1.0598723010346589e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,湖南,False,100,0.0018996222946294772,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,广东,True,14,1.605300781193364e-09,HJB_CONVERGED
OUTER_TRAJECTORY,4,广西,True,13,6.626938908738111e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,海南,True,13,4.6894659710972064e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,重庆,True,14,8.45876990673844e-09,HJB_CONVERGED
OUTER_TRAJECTORY,4,四川,False,100,0.17523885276969953,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,贵州,False,100,0.007726306979450648,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,云南,True,13,2.5987388241333065e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,西藏,True,14,1.425579654323883e-09,HJB_CONVERGED
OUTER_TRAJECTORY,4,陕西,True,14,7.874589558198863e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,甘肃,False,100,0.44505038504960304,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,青海,True,25,1.6193890672866473e-10,HJB_CONVERGED
OUTER_TRAJECTORY,4,宁夏,True,29,1.3471568083289753e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,新疆,False,100,0.10091722473334563,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,北京,True,44,3.092814893079776e-11,HJB_CONVERGED
OUTER_TRAJECTORY,5,天津,True,21,3.804527803907831e-10,HJB_CONVERGED
