path,turn,raw_ra0_std,used_ra_std,raw_used_spearman,used_ra_unique_count,upper_clipped_count,upper_clipped_share,lower_clipped_count,lower_clipped_share,share_exactly_0_09,share_exactly_0_02,raw_p1,raw_p5,raw_p25,raw_p50,raw_p75,raw_p95,raw_p99,used_p1,used_p5,used_p25,used_p50,used_p75,used_p95,used_p99,gap_p50,gap_min,gap_mean,gap_p95,gap_p99,gap_max
A_EQUAL_SHARE,1,0.16654744447723807,0.0,,1,31,1.0,0,0.0,1.0,0.0,0.26403510308607114,0.30061522802067564,0.35588001774803046,0.4763263686225738,0.6046296041575865,0.7899094373870446,0.9449586473927,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.38632636862257386,0.16025706464143671,0.40406522679327944,0.6999094373870445,0.8549586473927,0.8745303327953562
A_EQUAL_SHARE,2,0.1920811586027368,0.0,,1,31,1.0,0,0.0,1.0,0.0,0.2755246211653825,0.3162114095436508,0.3779189170307895,0.5035128415185646,0.6496259082397684,0.8758877698588667,1.0693380964656747,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.4135128415185646,0.16982404568415824,0.43990440322941954,0.7858877698588668,0.9793380964656745,1.0044240578130563
A_EQUAL_SHARE,3,0.19710380299350383,0.0,,1,31,1.0,0,0.0,1.0,0.0,0.2765128275212756,0.3174940626873236,0.37982444118259484,0.5064030648122217,0.6555037922536978,0.8905140527849686,1.0935886374010568,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.4164030648122218,0.1707154834302427,0.44472272472013097,0.8005140527849688,1.0035886374010567,1.0301707579585349
A_EQUAL_SHARE,4,0.19828505745817795,0.0,,1,31,1.0,0,0.0,1.0,0.0,0.2769692431620459,0.3180423179648836,0.3805097266091829,0.5073506055373469,0.6570922923387457,0.8941328703473452,1.0997001384878846,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.41735060553734693,0.17114005428392334,0.44609044361429706,0.8041328703473454,1.0097001384878848,1.036705099083405
A_EQUAL_SHARE,5,0.08172458206031821,0.00024412468467667676,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09142086953318809,0.10486246556645623,0.16363941955719552,0.20800197584909438,0.2951608682166959,0.3604953790416072,0.3783454260199196,0.08903281221762828,0.09,0.09,0.09,0.09,0.09,0.09,0.11800197584909439,0.0,0.13407743654834225,0.27049537904160725,0.2883454260199196,0.2924962816422242
A_EQUAL_SHARE,6,0.0896697691751835,2.1512363360988176e-05,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09200360429217191,0.10517059683006572,0.16277869133293907,0.2116500710972444,0.307235010933701,0.38496459973111385,0.4047200195854487,0.08991477103169536,0.09,0.09,0.09,0.09,0.09,0.09,0.1216500710972444,0.0,0.14140883212936164,0.2949645997311139,0.31472001958544865,0.31953417276136453
A_EQUAL_SHARE,7,0.08830161786158527,0.0003835529068719569,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.0904693690100068,0.10376637718028096,0.16550540487370563,0.21356691519978083,0.3071683411930777,0.38033283571183363,0.400445177389014,0.08848041714457908,0.09,0.09,0.09,0.09,0.09,0.09,0.12356691519978083,0.0,0.14079923296415595,0.2903328357118336,0.31044517738901395,0.3152244499166057
A_EQUAL_SHARE,8,0.08849920004488245,0.00038190394926355736,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09047718229581303,0.10377437903037481,0.16536373212071104,0.2136500429084443,0.3076488747829571,0.38111965213339394,0.4014167012009865,0.0884869500834935,0.09,0.09,0.09,0.09,0.09,0.09,0.12365004290844431,0.0,0.1411555621670154,0.2911196521333939,0.3114167012009865,0.316208269388938
A_EQUAL_SHARE,9,0.08853191562809391,0.00038220121752685334,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09047548292691181,0.10377250631253765,0.16536263880948637,0.21365066510078468,0.30768187530176905,0.3811762692630044,0.401491135964026,0.08848577234830163,0.09,0.09,0.09,0.09,0.09,0.09,0.12365066510078468,0.0,0.14116286265968683,0.2911762692630044,0.31149113596402606,0.31628446615129857
A_EQUAL_SHARE,10,0.08853387679400965,0.0003821772857684298,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09047562032324105,0.10377265791675497,0.1653621069685967,0.2136509768440422,0.3076843643245842,0.3811812309705117,0.40149776732603165,0.08848586716257405,0.09,0.09,0.09,0.09,0.09,0.09,0.12365097684404219,0.0,0.1411639914571906,0.2911812309705117,0.3114977673260316,0.31629130803450434
