classification,path,province_index,province,difference_min,difference_p50,difference_p95,difference_max
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,0,北京,0.27004301258674873,0.29147040437595695,0.9426370267466845,0.9529951732883026
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,1,天津,0.06574050744091181,0.06790660944788485,0.34780629189540346,0.34936346443717115
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,2,河北,0.09355231862754622,0.09635262411500647,0.2625376676420541,0.2633868245910266
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,3,山西,0.10222584468570703,0.10543677572627957,0.3693400482591232,0.3707985030700719
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,4,内蒙古,0.04890231400517962,0.04990469664858675,0.26770321870821456,0.26879146776629254
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,5,辽宁,0.07949600359635545,0.08217959454075392,0.28991517886290724,0.29096919069641514
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,6,吉林,0.02554019671084118,0.025593906817100484,0.20904615020220402,0.20989263362490096
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,7,黑龙江,0.048650291536571785,0.050467473525868556,0.24489278617614416,0.24582421310699734
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,8,上海,0.2582541066671501,0.277851464469169,0.867739032486172,0.876035554341728
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,9,江苏,0.20611191234925075,0.2189042246141461,0.4730895842110894,0.4750120372824963
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,10,浙江,0.21503413519713996,0.22869532545169835,0.5383247692167186,0.5408266543722374
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,11,安徽,0.23385120900781087,0.24960018688488192,0.5844107118446707,0.5873146253855774
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,12,福建,0.19692765781789787,0.20838268050924413,0.5749309102133365,0.5779655325389452
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,13,江西,0.20590973426465714,0.21897093748218593,0.5802825069479051,0.583285924902264
