point_index,point_id,rb,ra,wage,hjb_classification,iterations,final_statistic,first_illegal_iteration,maximum_A2max,minimum_stored_off_diagonal,kfe_ran,quality_label,Ct,Lt,At,Bt,Bt_pos,Bt_neg,bmin_mass,bmax_mass,amin_mass,amax_mass,modal_b,modal_a,total_mass,density_min,density_negative_count,kfe_raw_residual_inf
1,p01_ra_0p020_w_0p80,0.02,0.02,0.8,HJB_CONVERGED,9,3.2016664874845446e-09,,2.942091015256665e-15,-3.973126556952685,True,QUALITY_AMBIGUOUS__OWNER_REVIEW_REQUIRED,0.8955182593473062,1.0495883637954382,2.3530582996953994e-15,0.3047148315157247,0.42276045676632035,-0.11804562525059573,0.00011018616231501271,1.1396375531730724e-21,0.9999999999999996,0.0,[0.21052631578947345],[0.0],1.0,-2.925780288111553e-17,9,0.00538635383719538
2,p02_ra_0p020_w_1p05,0.02,0.02,1.05,HJB_CONVERGED,9,9.428269720501703e-09,,3.83026943495679e-15,-3.627135776395831,True,QUALITY_AMBIGUOUS__OWNER_REVIEW_REQUIRED,1.1112308929787573,1.0166787358199252,-2.3291023450918505e-15,0.36927799051218185,0.51630235925306,-0.14702436874087813,0.0012101719932613422,-1.0501760494857963e-20,1.0000000000000007,0.0,[0.21052631578947345],[0.0],0.9999999999999999,-6.287091257767056e-17,416,0.007863685304164323
3,p03_ra_0p020_w_1p30,0.02,0.02,1.3,HJB_CONVERGED,9,2.167512747064393e-08,,3.83026943495679e-15,-3.292160249594836,True,QUALITY_AMBIGUOUS__OWNER_REVIEW_REQUIRED,1.3198290251555729,0.9905183870888465,-4.552114186315432e-15,0.4328000803824068,0.6059027161938422,-0.17310263581143528,0.0038065612056535883,-1.2798243123633224e-19,1.0000000000000016,0.0,[0.21052631578947345],[0.0],0.9999999999999999,-2.1971506872345668e-16,439,0.005859375
4,p04_ra_0p055_w_0p80,0.02,0.055,0.8,HJB_CONVERGED,9,5.45175282695709e-09,,3.552713678800501e-15,-3.97313983277192,True,QUALITY_AMBIGUOUS__OWNER_REVIEW_REQUIRED,0.8955063266794753,1.049572870764775,2.0751533707801726e-07,0.3047073770509225,0.4227532605943324,-0.11804588354340982,0.00010999219481951549,0.0,0.9999999761363895,2.8723124680063752e-09,[0.21052631578947345],[0.0],0.9999999999999999,-7.650594245997655e-25,90,9.313225746154785e-10
5,p05_ra_0p055_w_1p05,0.02,0.055,1.05,HJB_CONVERGED,9,9.426891267594328e-09,,3.608224830031759e-15,-3.6271471028033178,True,QUALITY_AMBIGUOUS__OWNER_REVIEW_REQUIRED,1.1112289892180123,1.016676757166424,-9.396155581626625e-09,0.3692772205669133,0.5163003641311412,-0.14702314356422796,0.0012094575983040308,0.0,1.00000000110618,-1.1251701860711828e-10,[0.21052631578947345],[0.0],0.9999999999999998,-2.7817954139239786e-10,409,2.9802322387695312e-08
6,p06_ra_0p055_w_1p30,0.02,0.055,1.3,HJB_CONVERGED,9,2.1673116634701728e-08,,5.384581669432009e-15,-3.2921701441782565,True,QUALITY_AMBIGUOUS__OWNER_REVIEW_REQUIRED,1.319824809612252,0.9905148357718729,-1.6178386607546935e-10,0.43280108427471453,0.6059015734794767,-0.17310048920476212,0.003805342382358751,0.0,1.0000000000194584,-1.7287883916415863e-12,[0.21052631578947345],[0.0],0.9999999999999999,-4.087346553651891e-12,412,1.6689300537109375e-06
7,p07_ra_0p090_w_0p80,0.02,0.09,0.8,HJB_CONVERGED,9,3.1674929346081626e-09,,3.552713678800501e-15,-3.9732223790687455,True,BOUNDARY_CONVERGED_CANDIDATE,1.3227686252070205,0.8234977581614085,8.726638679548763,1.832534644363395,1.8537803514414761,-0.021245707078081228,0.0,0.0,0.0,0.18713573348757714,[3.1578947368421053],[10.0],1.0000000000000002,-0.0,0,9.75781955236954e-19
8,p08_ra_0p090_w_1p05,0.02,0.09,1.05,HJB_CONVERGED,9,9.418450019893498e-09,,3.552713678800501e-15,-3.627217656283059,True,BOUNDARY_CONVERGED_CANDIDATE,1.5322273893063394,0.819013909954962,8.766415600209147,1.6712643571446462,1.7039978714787898,-0.03273351433414386,0.0,0.0,0.0,0.19929869552220802,[2.7894736842105257],[10.0],0.9999999999999999,-0.0,0,2.168404344971009e-18
9,p09_ra_0p090_w_1p30,0.02,0.09,1.3,HJB_CONVERGED,11,1.948366623594211e-08,,0.007712953842301029,-3.292231853804264,True,BOUNDARY_CONVERGED_CANDIDATE,1.7308444768626274,0.8131892241786673,8.803585587838382,1.529902871157697,1.5767542014113844,-0.0468513302536875,0.0,0.0,0.0,0.2094370446521605,[-0.1578947368421053],[10.0],1.0,-0.0,0,2.927345865710862e-18
