step,province,identity,captured,derived,absolute_error,pass_128eps
1,北京,ra0_decomposition,-0.024372540010362608,-0.024372540010362608,0.0,True
1,北京,rk_decomposition,0.0006185893338436938,0.0006185893338436938,0.0,True
1,北京,mt_decomposition,0.9657290892838177,0.9657290892838176,1.1102230246251565e-16,True
1,北京,tax_clipping,-4169514.6512865396,-4169514.6512865396,0.0,True
1,北京,current_household_Lt,0.647623598114104,0.647623598114104,0.0,True
1,北京,capital_addition,49367001.59459932,49367001.59459932,0.0,True
1,天津,ra0_decomposition,-0.024758349345755593,-0.024758349345755593,0.0,True
1,天津,rk_decomposition,0.00023823094808971261,0.00023823094808971261,0.0,True
1,天津,mt_decomposition,0.9657149216014536,0.9657149216014534,1.1102230246251565e-16,True
1,天津,tax_clipping,-4314924.683691853,-4314924.683691853,0.0,True
1,天津,current_household_Lt,0.647623598114104,0.647623598114104,0.0,True
1,天津,capital_addition,51432692.438448064,51432692.438448064,0.0,True
1,河北,ra0_decomposition,-0.024931410658925696,-0.024931410658925696,0.0,True
1,河北,rk_decomposition,6.761027484508336e-05,6.761027484508336e-05,0.0,True
1,河北,mt_decomposition,0.9655909407463544,0.9655909407463544,0.0,True
1,河北,tax_clipping,-6125290.44202807,-6125290.44202807,0.0,True
1,河北,current_household_Lt,0.647623598114104,0.647623598114104,0.0,True
1,河北,capital_addition,90452862.77359664,90452862.77359664,0.0,True
1,山西,ra0_decomposition,-0.024716348589591132,-0.024716348589591132,0.0,True
1,山西,rk_decomposition,0.0002796694136485934,0.0002796694136485934,0.0,True
1,山西,mt_decomposition,0.9658290402221805,0.9658290402221804,1.1102230246251565e-16,True
1,山西,tax_clipping,-3742973.783579956,-3742973.783579956,0.0,True
1,山西,current_household_Lt,0.647623598114104,0.647623598114104,0.0,True
1,山西,capital_addition,37856863.89001002,37856863.89001002,0.0,True
1,内蒙古,ra0_decomposition,-0.024757536714154312,-0.024757536714154312,0.0,True
1,内蒙古,rk_decomposition,0.0002390251836517075,0.0002390251836517075,0.0,True
1,内蒙古,mt_decomposition,0.9656862234862874,0.9656862234862874,0.0,True
1,内蒙古,tax_clipping,-4561707.18630776,-4561707.18630776,0.0,True
1,内蒙古,current_household_Lt,0.647623598114104,0.647623598114104,0.0,True
1,内蒙古,capital_addition,57082133.75428878,57082133.75428878,0.0,True
1,辽宁,ra0_decomposition,-0.02489720912483038,-0.02489720912483038,0.0,True
1,辽宁,rk_decomposition,0.00010132939338216197,0.00010132939338216197,0.0,True
1,辽宁,mt_decomposition,0.9656477570796298,0.9656477570796299,1.1102230246251565e-16,True
1,辽宁,tax_clipping,-5019593.605550667,-5019593.605550667,0.0,True
1,辽宁,current_household_Lt,0.647623598114104,0.647623598114104,0.0,True
1,辽宁,capital_addition,67150561.0190419,67150561.0190419,0.0,True
1,吉林,ra0_decomposition,-0.024820399137461226,-0.024820399137461226,0.0,True
1,吉林,rk_decomposition,0.00017705856277951728,0.00017705856277951728,0.0,True
1,吉林,mt_decomposition,0.9657110570897383,0.9657110570897381,1.1102230246251565e-16,True
1,吉林,tax_clipping,-4355940.5811710665,-4355940.5811710665,0.0,True
1,吉林,current_household_Lt,0.647623598114104,0.647623598114104,0.0,True
1,吉林,capital_addition,52486856.28620974,52486856.28620974,0.0,True
1,黑龙江,ra0_decomposition,-0.024776001789914907,-0.024776001789914907,0.0,True
