step,call,province,phase,rah,rb,tau,w,Tt,rb_gap,Yt,Lt,Kt,Zt,GovInv,ra_carried,wjt_carried,rah_descriptive_below,rah_descriptive_above,rah_descriptive_exact_lower,rah_descriptive_exact_upper,rah_descriptive_near_lower,rah_descriptive_near_upper,rah_descriptive_lower_distance,rah_descriptive_upper_distance,w_constraint,household_return_saved,c_ss,l_ss,a_ss,b_ss,total_assets,density_normalization,hjb_converged,hjb_iterations,hjb_statistic
1,1,北京,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,30319980.0,123780.0,49270438.3129602,0.0016341152925786636,49270438.3129602,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,2,天津,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,13362920.0,89700.0,51336802.8150781,0.0006331796953290661,51336802.8150781,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,3,河北,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,32494600.0,419600.0,90356776.0949341,0.00020325561576148244,90356776.0949341,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,4,山西,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,15958130.0,178900.0,37758335.6649879,0.0006904139506587265,37758335.6649879,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,5,内蒙古,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,16140760.0,130400.0,56986309.349860296,0.0006509396292199082,56986309.349860296,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,6,辽宁,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,23510500.0,226100.0,67054545.412681095,0.0002864698302222306,67054545.412681095,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,7,吉林,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,11253810.0,147424.0,52390313.5226049,0.00047331941528535383,52390313.5226049,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,8,黑龙江,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,12846500.0,163500.0,44224774.7160286,0.0005703841154289705,44224774.7160286,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,9,上海,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,36011820.0,137600.0,54021103.923275396,0.0015030642394494576,54021103.923275396,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,10,江苏,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,92595400.0,488700.0,149374736.001046,0.0001820044285805966,149374736.001046,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,11,浙江,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,58002840.0,369100.0,98142144.3554609,0.0004481765543902068,98142144.3554609,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,12,安徽,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,34010910.0,438530.0,54313245.2543264,0.000641551386937363,54313245.2543264,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,13,福建,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,35804040.0,279100.0,75562152.8770214,0.0007909691648437431,75562152.8770214,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,14,江西,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,22717000.0,229500.0,38642602.7655129,0.0005972473033647159,38642602.7655129,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,15,山东,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,66648869.99999999,562100.0,157288007.639664,0.00033054728607754435,157288007.639664,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,16,河南,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,49935900.0,499200.0,128897630.76160501,0.0006181110089804474,128897630.76160501,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
1,17,湖北,INITIALIZATION,0.09,0.02,0.05,20.0,0.1,0.07,42021950.0,358000.0,76781442.8482972,0.0006926198455034483,76781442.8482972,0.09,0.6,False,False,False,True,False,True,0.06999999999999999,0.0,COMPOSITE_NO_FIRM_BOUND,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,0.9999999999999999,True,64,3.5073277615538245e-11
