step,index_0,province,phase,path_scope,Kt,Lt,Yt,mt,KNratio,wt0,wjt,rk,Thetat,It,PIt,Corptax,ra0,ra,Govinc,input_name,input_N,input_alpha,input_Zt,input_Kt0,input_Kt,input_Kt_prev,input_Lt,input_Lt_prev,input_Yt0,input_Yt,input_Zt_1,input_GovInv,input_inter_prv_ratio,input_rb_gap,input_rah,input_ra,input_it,input_rb,input_rk,input_wjt,input_w,input_Tt,input_pit,input_pit_1,input_totalpit,input_epsilon_pi,input_tau,input_At,input_Bt,input_mt,input_Ct,input_AtTax,input_GovSurplus,input_corptau,input_ramin,input_ramax,input_wjtmin,input_wjtmax,kt_supply,lt_supply,ra_below,ra_above,ra_exact_lower,ra_exact_upper,ra_near_lower,ra_near_upper,ra_lower_distance,ra_upper_distance,wjt_below,wjt_above,wjt_exact_lower,wjt_exact_upper,wjt_near_lower,wjt_near_upper,wjt_lower_distance,wjt_upper_distance,ra0_below,ra0_above,wt0_below,wt0_above,divrate_derived,delta,Y_over_K,private_share,state_share,mt_derived,mt_prior_rk,mt_Z_change,mt_K_change,mt_L_change,input_convergent,input_Lt_supply,input_Kt_supply,input_Yt_1,input_KNratio,input_wt0,input_Thetat,input_It,input_PIt,input_Corptax,input_ra0,input_Govinc
1,0,北京,CAPTURED_FIRM_RETURN,MATCHED_ENTRY_PREFIX,49367001.59459932,2485119.9997324906,40914.71454737012,0.9657290892838177,19.865037342226294,0.00361134648984412,0.8,0.0006185893338436938,818.2942909474024,1330738.3215041046,583.8902382836028,-4169514.6512865396,-0.024372540010362608,0.02,-3059849.980493132,北京,123780.0,0.772866243094144,0.0016341152925786636,49270438.3129602,49270438.3129602,49270438.3129602,123780.0,0.647623598114104,30319980.0,30319980.0,0.0016341152925786636,49270438.3129602,0.12116569491184198,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.00454757918951576,0.0,0.25,0.02,0.09,0.8,1.3,96563.28163911952,2485119.9997324906,False,False,True,False,True,False,0.0,0.06999999999999999,False,False,True,False,True,False,0.0,0.5,True,False,True,False,8.870655793699443e-06,0.025,0.0008287867041908036,0.001956028896226977,0.998043971103773,0.9657290892838176,0.1,0.0,-0.0015117487044105594,-0.22713369771467776,,,,,,,,,,,,
1,1,天津,CAPTURED_FIRM_RETURN,MATCHED_ENTRY_PREFIX,51432692.438448064,2520677.283555772,16416.635594823827,0.9657149216014536,20.404314655422677,0.0014285568793309495,0.8,0.00023823094808971261,328.33271189647655,1381706.9343311638,234.51292651242647,-4314924.683691853,-0.024758349345755593,0.02,-3162154.858664923,天津,89700.0,0.772866243094144,0.0006331796953290661,51336802.8150781,51336802.8150781,51336802.8150781,89700.0,0.647623598114104,13362920.0,13362920.0,0.0006331796953290661,51336802.8150781,0.19817398532280342,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.00454757918951576,0.0,0.25,0.02,0.09,0.8,1.3,95889.6233699608,2520677.283555772,False,False,True,False,True,False,0.0,0.06999999999999999,False,False,True,False,True,False,0.0,0.5,True,False,True,False,3.419706154695467e-06,0.025,0.00031918678211276594,0.0018643710609689828,0.998135628939031,0.9657149216014534,0.1,0.0,-0.0014409094576245587,-0.22713369854964285,,,,,,,,,,,,
1,2,河北,CAPTURED_FIRM_RETURN,MATCHED_ENTRY_PREFIX,90452862.77359664,2578678.1315924386,8194.783732377882,0.9655909407463544,35.077221024765244,0.0006969718316889432,0.8,6.761027484508336e-05,163.89567464755766,2357408.2480024546,118.07912437064368,-6125290.44202807,-0.024931410658925696,0.02,-4189221.1090021865,河北,419600.0,0.772866243094144,0.00020325561576148244,90356776.0949341,90356776.0949341,90356776.0949341,419600.0,0.647623598114104,32494600.0,32494600.0,0.00020325561576148244,90356776.0949341,0.04042780400496038,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.00454757918951576,0.0,0.25,0.02,0.09,0.8,1.3,96086.67866254163,2578678.1315924386,False,False,True,False,True,False,0.0,0.06999999999999999,False,False,True,False,True,False,0.0,0.5,True,False,True,False,9.79066229220922e-07,0.025,9.059728438766401e-05,0.0010622845503856127,0.9989377154496144,0.9655909407463544,0.1,0.0,-0.0008210038695534538,-0.2271336998622184,,,,,,,,,,,,
1,3,山西,CAPTURED_FIRM_RETURN,MATCHED_ENTRY_PREFIX,37856863.89001002,2566643.486941443,14183.552064948035,0.9658290402221805,14.749560693808082,0.001212275708319815,0.8,0.0002796694136485934,283.6710412989607,1044949.8222723729,200.99454581898698,-3742973.783579956,-0.024716348589591132,0.02,-2859474.991385547,山西,178900.0,0.772866243094144,0.0006904139506587265,37758335.6649879,37758335.6649879,37758335.6649879,178900.0,0.647623598114104,15958130.0,15958130.0,0.0006904139506587265,37758335.6649879,0.0385356371748285,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.00454757918951576,0.0,0.25,0.02,0.09,0.8,1.3,98528.22502212018,2566643.486941443,False,False,True,False,True,False,0.0,0.06999999999999999,False,False,True,False,True,False,0.0,0.5,True,False,True,False,3.9819967602762855e-06,0.025,0.0003746626267341418,0.0026026515378660465,0.9973973484621339,0.9658290402221804,0.1,0.0,-0.0020115015161537696,-0.22713369959474847,,,,,,,,,,,,
1,4,内蒙古,CAPTURED_FIRM_RETURN,MATCHED_ENTRY_PREFIX,57082133.75428878,2513658.366548129,18281.14885075326,0.9656862234862874,22.708787524168045,0.0015951993095747595,0.8,0.0002390251836517075,365.6229770150652,1522877.7482857015,261.67227906359585,-4561707.18630776,-0.024757536714154312,0.02,-3296298.176435569,内蒙古,130400.0,0.772866243094144,0.0006509396292199082,56986309.349860296,56986309.349860296,56986309.349860296,130400.0,0.647623598114104,16140760.0,16140760.0,0.0006509396292199082,56986309.349860296,0.13838331231905796,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.00454757918951576,0.0,0.25,0.02,0.09,0.8,1.3,95824.40442847976,2513658.366548129,False,False,True,False,True,False,0.0,0.06999999999999999,False,False,True,False,True,False,0.0,0.5,True,False,True,False,3.438102193980295e-06,0.025,0.00032026043261530556,0.0016787109753282504,0.9983212890246717,0.9656862234862874,0.1,0.0,-0.0012974190447428823,-0.22713369838669412,,,,,,,,,,,,
1,5,辽宁,CAPTURED_FIRM_RETURN,MATCHED_ENTRY_PREFIX,67150561.0190419,2508441.533282962,9117.211155702276,0.9656477570796298,26.769833033005774,0.0007971837746510245,0.8,0.00010132939338216197,182.34422311404552,1774779.631836848,130.85242926294825,-5019593.605550667,-0.02489720912483038,0.02,-3553080.716085318,辽宁,226100.0,0.772866243094144,0.0002864698302222306,67054545.412681095,67054545.412681095,67054545.412681095,226100.0,0.647623598114104,23510500.0,23510500.0,0.0002864698302222306,67054545.412681095,0.07632297463521798,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.00454757918951576,0.0,0.25,0.02,0.09,0.8,1.3,96015.60636080663,2508441.533282962,False,False,True,False,True,False,0.0,0.06999999999999999,False,False,True,False,True,False,0.0,0.5,True,False,True,False,1.4614817874623832e-06,0.025,0.00013577267289124968,0.0014298556095991436,0.9985701443904009,0.9656477570796299,0.1,0.0,-0.0011050871331579073,-0.2271336982649912,,,,,,,,,,,,
1,6,吉林,CAPTURED_FIRM_RETURN,MATCHED_ENTRY_PREFIX,52486856.28620974,2507792.946982281,12451.336014486518,0.9657110570897383,20.929501516211335,0.0010890634050009682,0.8,0.00017705856277951728,249.02672028973038,1408714.1707600858,177.91642946748382,-4355940.5811710665,-0.024820399137461226,0.02,-3182744.758822276,吉林,147424.0,0.772866243094144,0.00047331941528535383,52390313.5226049,52390313.5226049,52390313.5226049,147424.0,0.647623598114104,11253810.0,11253810.0,0.00047331941528535383,52390313.5226049,0.1023070236880023,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.00454757918951576,0.0,0.25,0.02,0.09,0.8,1.3,96542.76360484208,2507792.946982281,False,False,True,False,True,False,0.0,0.06999999999999999,False,False,True,False,True,False,0.0,0.5,True,False,True,False,2.542299759257478e-06,0.025,0.00023722769652252825,0.001839370281168992,0.998160629718831,0.9657110570897381,0.1,0.0,-0.0014215871988660987,-0.22713369824982502,,,,,,,,,,,,
1,7,黑龙江,CAPTURED_FIRM_RETURN,MATCHED_ENTRY_PREFIX,44322405.72187826,2463557.4208073365,13113.665753064875,0.9657672250581468,17.99122088550844,0.0011676577545991335,0.8,0.000220839922809966,262.2733150612975,1205691.148896616,186.64385332605985,-3952502.8016923876,-0.024776001789914907,0.02,-2944829.5317838695,黑龙江,163500.0,0.772866243094144,0.0005703841154289705,44224774.7160286,44224774.7160286,44224774.7160286,163500.0,0.647623598114104,12846500.0,12846500.0,0.0005703841154289705,44224774.7160286,0.06479729188901276,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.00454757918951576,0.0,0.25,0.02,0.09,0.8,1.3,97631.0058496628,2463557.4208073365,False,False,True,False,True,False,0.0,0.06999999999999999,False,False,True,False,True,False,0.0,0.5,True,False,True,False,3.1582872751297223e-06,0.025,0.00029586990009867076,0.0022027460887907207,0.9977972539112093,0.9657672250581467,0.1,0.0,-0.0017024280941339456,-0.22713369719659995,,,,,,,,,,,,
1,8,上海,CAPTURED_FIRM_RETURN,MATCHED_ENTRY_PREFIX,54117341.58537002,2489971.4373536343,40420.705610919125,0.9657016194406154,21.734121433491804,0.003560690037062654,0.8,0.0005574613145076762,808.4141122183826,1449171.2017288734,577.9506313037743,-4387645.229725858,-0.02443452899837948,0.02,-3182724.674845089,上海,137600.0,0.772866243094144,0.0015030642394494576,54021103.923275396,54021103.923275396,54021103.923275396,137600.0,0.647623598114104,36011820.0,36011820.0,0.0015030642394494576,54021103.923275396,0.11875593934055706,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.00454757918951576,0.0,0.25,0.02,0.09,0.8,1.3,96237.66209462108,2489971.4373536343,False,False,True,False,True,False,0.0,0.06999999999999999,False,False,True,False,True,False,0.0,0.5,True,False,True,False,8.00968711284614e-06,0.025,0.0007469085588240791,0.0017783146635687254,0.9982216853364313,0.9657016194406155,0.1,0.0,-0.0013743993730716128,-0.2271336978300053,,,,,,,,,,,,
1,9,江苏,CAPTURED_FIRM_RETURN,MATCHED_ENTRY_PREFIX,149465416.10641217,2519183.3026875304,10760.952332049852,0.9655205187111328,59.330901386555944,0.0009367724945047493,0.8,5.372492754562199e-05,215.21904664099705,3827315.508026475,155.81300794230813,-8730744.633653164,-0.024945493220979966,0.02,-5617290.843950288,江苏,488700.0,0.772866243094144,0.0001820044285805966,149374736.001046,149374736.001046,149374736.001046,488700.0,0.647623598114104,92595400.0,92595400.0,0.0001820044285805966,149374736.001046,0.08033848825905156,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.00454757918951576,0.0,0.25,0.02,0.09,0.8,1.3,90680.10536615658,2519183.3026875304,False,False,True,False,True,False,0.0,0.06999999999999999,False,False,True,False,True,False,0.0,0.5,True,False,True,False,7.818514744142056e-07,0.025,7.199626918636865e-05,0.00060669623601487,0.999393303763985,0.9655205187111328,0.1,0.0,-0.0004688950406282421,-0.2271336985150352,,,,,,,,,,,,
