outer_iteration,province_index_0based,province,global_household_call_number,field,old,new,absolute_error,scaled_eps,matches_128eps
1,7,黑龙江,8,tau,0.05,0.05,0.0,0.0,True
1,7,黑龙江,8,w,20.0,20.0,0.0,0.0,True
1,7,黑龙江,8,Tt,0.1,0.1,0.0,0.0,True
1,7,黑龙江,8,rb_gap,0.07,0.07,0.0,0.0,True
1,7,黑龙江,8,Yt,12846500.0,12846500.0,0.0,0.0,True
1,7,黑龙江,8,Lt,163500.0,163500.0,0.0,0.0,True
1,7,黑龙江,8,Kt,44224774.7160286,44224774.7160286,0.0,0.0,True
1,7,黑龙江,8,Zt,0.0005703841154289705,0.0005703841154289705,0.0,0.0,True
1,7,黑龙江,8,GovInv,44224774.7160286,44224774.7160286,0.0,0.0,True
1,8,上海,9,rah,0.09,0.09,0.0,0.0,True
1,8,上海,9,rb,0.02,0.02,0.0,0.0,True
1,8,上海,9,tau,0.05,0.05,0.0,0.0,True
1,8,上海,9,w,20.0,20.0,0.0,0.0,True
1,8,上海,9,Tt,0.1,0.1,0.0,0.0,True
1,8,上海,9,rb_gap,0.07,0.07,0.0,0.0,True
1,8,上海,9,Yt,36011820.0,36011820.0,0.0,0.0,True
1,8,上海,9,Lt,137600.0,137600.0,0.0,0.0,True
1,8,上海,9,Kt,54021103.923275396,54021103.923275396,0.0,0.0,True
1,8,上海,9,Zt,0.0015030642394494576,0.0015030642394494576,0.0,0.0,True
1,8,上海,9,GovInv,54021103.923275396,54021103.923275396,0.0,0.0,True
1,9,江苏,10,rah,0.09,0.09,0.0,0.0,True
1,9,江苏,10,rb,0.02,0.02,0.0,0.0,True
1,9,江苏,10,tau,0.05,0.05,0.0,0.0,True
1,9,江苏,10,w,20.0,20.0,0.0,0.0,True
1,9,江苏,10,Tt,0.1,0.1,0.0,0.0,True
1,9,江苏,10,rb_gap,0.07,0.07,0.0,0.0,True
1,9,江苏,10,Yt,92595400.0,92595400.0,0.0,0.0,True
1,9,江苏,10,Lt,488700.0,488700.0,0.0,0.0,True
1,9,江苏,10,Kt,149374736.001046,149374736.001046,0.0,0.0,True
1,9,江苏,10,Zt,0.0001820044285805966,0.0001820044285805966,0.0,0.0,True
1,9,江苏,10,GovInv,149374736.001046,149374736.001046,0.0,0.0,True
1,10,浙江,11,rah,0.09,0.09,0.0,0.0,True
1,10,浙江,11,rb,0.02,0.02,0.0,0.0,True
1,10,浙江,11,tau,0.05,0.05,0.0,0.0,True
1,10,浙江,11,w,20.0,20.0,0.0,0.0,True
1,10,浙江,11,Tt,0.1,0.1,0.0,0.0,True
1,10,浙江,11,rb_gap,0.07,0.07,0.0,0.0,True
1,10,浙江,11,Yt,58002840.0,58002840.0,0.0,0.0,True
1,10,浙江,11,Lt,369100.0,369100.0,0.0,0.0,True
1,10,浙江,11,Kt,98142144.3554609,98142144.3554609,0.0,0.0,True
1,10,浙江,11,Zt,0.0004481765543902068,0.0004481765543902068,0.0,0.0,True
1,10,浙江,11,GovInv,98142144.3554609,98142144.3554609,0.0,0.0,True
1,11,安徽,12,rah,0.09,0.09,0.0,0.0,True
1,11,安徽,12,rb,0.02,0.02,0.0,0.0,True
1,11,安徽,12,tau,0.05,0.05,0.0,0.0,True
1,11,安徽,12,w,20.0,20.0,0.0,0.0,True
1,11,安徽,12,Tt,0.1,0.1,0.0,0.0,True
1,11,安徽,12,rb_gap,0.07,0.07,0.0,0.0,True
1,11,安徽,12,Yt,34010910.0,34010910.0,0.0,0.0,True
1,11,安徽,12,Lt,438530.0,438530.0,0.0,0.0,True
1,11,安徽,12,Kt,54313245.2543264,54313245.2543264,0.0,0.0,True
