step,field,old_derived_from_saved,new_captured,match_128eps
1,max_nk,19.842075357095016,19.842075357095016,True
1,max_yt,0.9998837852384455,0.9998837852384455,True
2,max_nk,0.30787718279682275,0.30787718279682275,True
2,max_yt,0.07249849581738799,0.07249849581738799,True
3,max_nk,0.14187586624280568,0.14187586624280568,True
3,max_yt,0.022349809257733,0.022349809257733,True
4,max_nk,0.05832661228030156,0.05832661228030156,True
4,max_yt,5.228391659750642e-05,5.228391659750642e-05,True
5,max_nk,0.1217541953566762,0.1217541953566762,True
5,max_yt,7515.575027092075,7515.575027092075,True
6,max_nk,0.08717418821744105,0.08717418821744105,True
6,max_yt,0.029187862467365933,0.029187862467365933,True
7,max_nk,0.08941476241411839,0.08941476241411839,True
7,max_yt,0.22777194517765764,0.22777194517765764,True
8,max_nk,0.1517827595686938,0.1517827595686938,True
8,max_yt,0.028545147224829703,0.028545147224829703,True
9,max_nk,0.05302525856242446,0.05302525856242446,True
9,max_yt,0.002087412989546955,0.002087412989546955,True
10,max_nk,0.11437413558448584,0.11437413558448584,True
10,max_yt,0.004090593806841181,0.004090593806841181,True
11,max_nk,0.045388499860329556,0.045388499860329556,True
11,max_yt,0.0006446458269199207,0.0006446458269199207,True
12,max_nk,0.12327685575168079,0.12327685575168079,True
12,max_yt,0.0020963386091930047,0.0020963386091930047,True
13,max_nk,0.046260800192606144,0.046260800192606144,True
13,max_yt,0.00013678526309457428,0.00013678526309457428,True
14,max_nk,0.12116268152957499,0.12116268152957499,True
14,max_yt,0.0008816288519732929,0.0008816288519732929,True
15,max_nk,0.04250939823869704,0.04250939823869704,True
15,max_yt,0.0006345616138965227,0.0006345616138965227,True
16,max_nk,0.12000731417578381,0.12000731417578381,True
16,max_yt,0.0006812263839353072,0.0006812263839353072,True
17,max_nk,0.04483860609090007,0.04483860609090007,True
17,max_yt,0.000234828729650971,0.000234828729650971,True
18,max_nk,0.11978897055080262,0.11978897055080262,True
18,max_yt,0.0007111187817823161,0.0007111187817823161,True
19,max_nk,0.04630688166053876,0.04630688166053876,True
19,max_yt,0.0003444362281926905,0.0003444362281926905,True
20,max_nk,0.12158758987451845,0.12158758987451845,True
20,max_yt,0.00023206445762558037,0.00023206445762558037,True
21,max_nk,0.043503890509719145,0.043503890509719145,True
21,max_yt,0.0003826482536357645,0.0003826482536357645,True
22,max_nk,0.11947876361194498,0.11947876361194498,True
22,max_yt,0.07109255794363889,0.07109255794363889,True
