call,old_converged,new_converged,old_iterations,new_iterations,old_statistic,new_statistic,status_match,statistic_match_128eps
85,True,True,11,11,1.2578488473025118e-08,1.2578488473025118e-08,True,True
86,True,True,11,11,7.760744047402568e-09,7.760744047402568e-09,True,True
87,True,True,11,11,7.14624626141358e-09,7.14624626141358e-09,True,True
88,True,True,10,10,6.024308607521789e-08,6.024308607521789e-08,True,True
89,True,True,11,11,1.3785306229863181e-08,1.3785306229863181e-08,True,True
90,True,True,11,11,7.685015734892886e-09,7.685015734892886e-09,True,True
91,True,True,11,11,3.103454382369364e-09,3.103454382369364e-09,True,True
92,True,True,11,11,7.525871481561808e-09,7.525871481561808e-09,True,True
93,True,True,10,10,4.679320397826814e-08,4.679320397826814e-08,True,True
94,True,True,11,11,1.3160120548860732e-08,1.3160120548860732e-08,True,True
95,True,True,11,11,1.2041609043222934e-08,1.2041609043222934e-08,True,True
96,True,True,11,11,1.2598370791039315e-08,1.2598370791039315e-08,True,True
97,True,True,11,11,1.3373772755898017e-08,1.3373772755898017e-08,True,True
98,True,True,11,11,7.576682836685222e-09,7.576682836685222e-09,True,True
99,True,True,11,11,4.903944361700496e-09,4.903944361700496e-09,True,True
100,True,True,11,11,2.9925564248856062e-09,2.9925564248856062e-09,True,True
101,True,True,10,10,7.207825847288518e-08,7.207825847288518e-08,True,True
102,True,True,11,11,1.2416609518339783e-08,1.2416609518339783e-08,True,True
103,True,True,11,11,1.2067765897683103e-08,1.2067765897683103e-08,True,True
104,True,True,11,11,1.223502854585945e-08,1.223502854585945e-08,True,True
105,True,True,11,11,1.3781632723919301e-08,1.3781632723919301e-08,True,True
106,True,True,11,11,7.818238056955806e-09,7.818238056955806e-09,True,True
107,True,True,11,11,1.2808048843737652e-08,1.2808048843737652e-08,True,True
108,True,True,11,11,1.3545567334460884e-08,1.3545567334460884e-08,True,True
109,True,True,11,11,1.4867844733146285e-08,1.4867844733146285e-08,True,True
110,True,True,11,11,1.4313130236587313e-08,1.4313130236587313e-08,True,True
111,True,True,11,11,1.3571431090042552e-08,1.3571431090042552e-08,True,True
112,True,True,11,11,7.913787847257936e-09,7.913787847257936e-09,True,True
113,True,True,11,11,7.291433234968281e-09,7.291433234968281e-09,True,True
114,True,True,11,11,2.6041582223967907e-09,2.6041582223967907e-09,True,True
115,True,True,11,11,1.2520167569363139e-08,1.2520167569363139e-08,True,True
