step,province,nk_gap,yt_gap,tKN,max_tie
1,北京,5.621679114075431,0.9986505692105545,3.0,False
1,天津,5.8014382184742255,0.9987714784197748,3.0,False
1,河北,10.692407008255081,0.9997478109060466,3.0,False
1,山西,3.9165202312693603,0.9991112021229963,3.0,False
1,内蒙古,6.569595841389348,0.9988673923129547,3.0,False
1,辽宁,7.923277677668592,0.999612206837128,3.0,False
1,吉林,5.976500505403778,0.9988935892809203,3.0,False
1,黑龙江,4.997073628502814,0.9989792032263212,3.0,False
1,上海,6.244707144497268,0.9988775711527238,3.0,False
1,江苏,18.776967128851982,0.9998837852384455,3.0,False
1,浙江,11.957051065833042,0.9996694663275878,3.0,False
1,安徽,5.9967451800247344,0.9994859034842022,3.0,False
1,福建,8.962239391424271,0.9992274061710615,3.0,False
1,江西,4.026686502480406,0.9994500453647407,3.0,False
1,山东,19.563136570564353,0.9996939659070845,3.0,False
1,河南,15.716430472172497,0.99934381805424,3.0,False
1,湖北,9.001154008500164,0.9994147973764886,3.0,False
1,湖南,7.442067327531065,0.9994055404866348,3.0,False
1,广东,19.842075357095016,0.9993855144140475,3.0,True
1,广西,5.926987291435819,0.9991576966781551,3.0,False
1,海南,0.34274898544658505,0.9994245287638718,3.0,False
1,重庆,4.179172307173937,0.9992873279002337,3.0,False
1,四川,8.114091164265242,0.999460557991554,3.0,False
1,贵州,3.288133900631731,0.9992693171133732,3.0,False
1,云南,6.092109012641071,0.9990829790310327,3.0,False
1,西藏,0.14726729567318841,0.9974658050206235,3.0,False
1,陕西,5.618630728763957,0.9992990824938085,3.0,False
1,甘肃,1.404184731878808,0.9992641416682095,3.0,False
1,青海,0.7545843203547431,0.9982699892177819,3.0,False
1,宁夏,0.8361842396184374,0.9983925843047476,3.0,False
1,新疆,4.0860398127967095,0.9989634225395057,3.0,False
2,北京,0.18266695279955592,0.05794270009697078,13.119022405335777,False
2,天津,0.17190748764175767,0.060715681425403956,13.442588793253606,False
2,河北,0.21588538018627634,0.06092291906325942,22.246332614859146,False
2,山西,0.14472453262925322,0.05832787349978674,10.049736416284848,False
2,内蒙古,0.1924347647960083,0.05870666672211278,14.825272514500828,False
2,辽宁,0.18980252018127897,0.06218032845708499,17.261899819803464,False
2,吉林,0.18841625872713785,0.057877111627953504,13.7577009097268,False
2,黑龙江,0.1730725831624491,0.057637505427153846,11.994732531305065,False
2,上海,0.18985693904039636,0.05836576049774811,14.240472860095082,False
2,江苏,0.2219462737290543,0.06505324498183307,36.798540831933565,False
2,浙江,0.227113497188296,0.05996423345300572,24.522691918499476,False
2,安徽,0.19852218431397306,0.05590753074358412,13.79414132404452,False
2,福建,0.22813108787228287,0.05628627486932247,19.132030904563685,False
2,江西,0.1398798951749063,0.059981976881105625,10.24803570446473,False
2,山东,0.2615213892849828,0.05766712302880084,38.21364582701584,False
2,河南,0.27426129480850614,0.05354635688900822,31.289574849910494,False
2,湖北,0.22741114703803555,0.056490711343269995,19.202077215300296,False
2,湖南,0.21569761698254952,0.05606258675556197,16.395721189555918,False
2,广东,0.2888768306042102,0.05262750421013984,38.71573564277103,False
2,广西,0.19625543021736935,0.05615056486102454,13.668577124584473,False
2,海南,0.16497423001357003,0.06861691243036439,3.6169481738038534,False
2,重庆,0.14188497926205645,0.06037932302681148,10.522510152913085,False
2,四川,0.22702385360030197,0.055126435278099795,17.605364095677434,False
2,贵州,0.12046106210285479,0.059358859077933035,8.918641021137116,False
2,云南,0.20507493636973817,0.054877088059767765,13.965796222753927,False
2,西藏,0.30787718279682275,0.07249849581738799,2.734918867788261,True
2,陕西,0.1782807368704029,0.05880686932299417,13.113535311775124,False
2,甘肃,0.005516706419181894,0.06152872999552361,5.527532517381855,False
2,青海,0.08226114452530697,0.06513756447841934,4.358251776638538,False
2,宁夏,0.07291401657330887,0.06562555129885861,4.505131631313187,False
2,新疆,0.11452648105024665,0.06576157423873585,10.354871663034078,False
3,北京,0.10584920395003383,0.010463587071565472,14.556869513230849,False
3,天津,0.10207940334276655,0.010340120941086384,14.829117793363292,False
3,河北,0.117756869759434,0.00967347605554747,25.12792739944468,False
3,山西,0.09207568641497921,0.011007304158440534,10.922402459821255,False
3,内蒙古,0.10942982466144335,0.010224532233828465,16.537011212119644,False
3,辽宁,0.1085140944361569,0.009938558690493648,19.22771107315274,False
3,吉林,0.10794766025155011,0.010362434375958074,15.3130056301854,False
3,黑龙江,0.10233453220897926,0.010668904352269415,13.240308137426442,False
3,上海,0.10846637902432721,0.010311704816974965,15.862664412718377,False
3,江苏,0.11984711081225585,0.009198190982698584,41.698920241722035,False
3,浙江,0.12156782560688417,0.00959551546213222,27.864352511748425,False
3,安徽,0.11159991401421121,0.0104244841315273,15.437207163875495,False
3,福建,0.12189548020320551,0.009925053137501916,21.750797518642234,False
3,江西,0.09031775855124913,0.010955604588860135,11.108132200518263,False
3,山东,0.1331246356986775,0.009312452163289686,44.209857274811114,False
3,河南,0.13725494699974372,0.009508486457651677,36.43848643731697,False
3,湖北,0.12167851574500399,0.009924723283605608,21.822137058326916,False
3,湖南,0.1176538612536866,0.01014905607260952,18.51763198313442,False
3,广东,0.14187586624280568,0.009398962175665493,45.42618304696752,True
3,广西,0.11086894992572582,0.010437136823814863,15.278096615011243,False
3,海南,0.04712281500781057,0.01700884371061495,3.258926229820486,False
3,重庆,0.09107914120735261,0.010891374874942072,11.418301833811595,False
3,四川,0.12152239716728475,0.01009339435781953,20.003466656299686,False
3,贵州,0.08295026914406023,0.011360605797631207,9.563250403089276,False
3,云南,0.11394566353408275,0.010436423568183306,15.68421708579432,False
3,西藏,0.1336270194140361,0.022349809257733,2.2297073980727458,False
3,陕西,0.10443807280243078,0.01043030622957486,14.516269754790713,False
3,甘肃,0.03578245840579397,0.013326049261566664,5.5458287818543806,False
