province_index,province_name,source_province_name,legacy_matlab_level_year,corrected_year,legacy_matlab_gdp_100m_yuan,corrected_raw_nbs_gdp_2018_100m_yuan,gdp_relative_difference_vs_legacy,legacy_matlab_population_10k_persons,corrected_raw_nbs_population_2018_10k_persons,population_relative_difference_vs_legacy,raw_nbs_investment_2018_100m_yuan,raw_nbs_depreciation_2018_100m_yuan,legacy_matlab_capital_100m_yuan,corrected_track_a_capital_2018_100m_yuan,capital_relative_difference_vs_legacy,corrected_track_b_capital_2018_100m_yuan,track_a_to_track_b_ratio,legacy_alpha,new_alpha,legacy_matlab_zt,corrected_track_a_zt_2018,zt_relative_difference_vs_legacy,corrected_track_b_zt_2018,track_a_k_to_y,track_a_k_to_n_model_units,y_to_n_model_units,canonical_2018_gdp_100m_yuan,raw_gdp_relative_difference_vs_canonical,canonical_2018_population_10k_persons,raw_population_relative_difference_vs_canonical,canonical_2018_pim_capital_100m_yuan,track_a_capital_relative_difference_vs_canonical,data_quality_provenance_flag
11,浙江,浙江省,2009,2018,22833.74,58002.8,1.5402233712041915,5276.0,6273.0,0.18896891584533737,,,48634.67225908805,124249.65620818298,1.5547546726803578,156074.1,0.7960940105256604,0.772866243094144,0.7380939146868483,0.0004481765543902068,0.0020812737912261803,3.6438703025373136,0.0017588613657603975,2.142132038594395,1980705.5030795948,92.46421170094054,58002.84,-6.896214046346207e-07,6273.0,0.0,159161.7942417398,-0.21934999036597433,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
12,安徽,安徽省,2009,2018,10864.68,34010.9,2.130409731349658,6131.0,6076.0,-0.008970804110259337,,,22812.175548548825,70182.43335888097,2.076533985525355,84616.79999999999,0.8294148840287151,0.772866243094144,0.7380939146868483,0.000641551386937363,0.0018759632501672073,1.924104426182722,0.0016340686739896946,2.0635276737422696,1155076.256729443,55.975806451612904,34010.9,0.0,6076.0,0.0,135731.41082013684,-0.4829315267938787,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
13,福建,福建省,2009,2018,12418.09,38687.8,2.1154388476810846,3666.0,4104.0,0.11947626841243862,,,19997.38916017104,87795.53811850408,3.3903500309614,111894.40000000001,0.7846285258109795,0.772866243094144,0.7380939146868483,0.0007909691648437431,0.002004640676664468,1.534410651849478,0.001676056855233626,2.2693339533006287,2139267.4980142317,94.26851851851852,35804.04,0.08054286611231587,3941.0,0.041360060898249174,114101.63906115339,-0.23054972004872265,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;RAW_POP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
14,江西,江西省,2009,2018,7589.2,22716.5,1.9932667474832657,4432.0,4513.0,0.018276173285198555,,,18122.769974104183,51050.04792908307,1.816900948476917,60069.100000000006,0.8498553820364059,0.772866243094144,0.7380939146868483,0.0005972473033647159,0.0017131753799332005,1.8684522647179376,0.0015193289754764808,2.247267313586295,1131177.6629533141,50.33569687569244,22717.0,-2.200994849672052e-05,4513.0,0.0,100509.78571793012,-0.49208877957068253,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
15,山东,山东省,2009,2018,29540.8,66648.9,1.2561643557385038,9470.0,10077.0,0.06409714889123548,,,66656.60424205677,210016.97307581102,2.150730155907065,270978.1,0.7750330121726111,0.772866243094144,0.7380939146868483,0.00033054728607754435,0.001433847664408842,3.337798931655637,0.001187984918964967,3.151094362784848,2084121.9914241445,66.13962488835962,66648.87,4.5012015955913206e-07,10077.0,0.0,279179.61280485976,-0.24773528064669914,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
16,河南,河南省,2009,2018,19181.0,49935.9,1.6034044106146708,9487.0,9864.0,0.03973858964899336,,,37325.93745199879,168320.55601470312,3.509479667621573,212642.19999999995,0.7915670361513526,0.772866243094144,0.7380939146868483,0.0006181110089804474,0.0012720274190573914,1.0579271369968906,0.001070461031494272,3.370732399229875,1706412.773871686,50.624391727493915,49935.9,0.0,9864.0,0.0,200793.49735219032,-0.16172307253820026,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
17,湖北,湖北省,2009,2018,13192.14,42022.0,2.185381598436645,5720.0,5917.0,0.03444055944055944,,,25678.616932107012,101805.15366230691,2.9645886665732304,121768.09999999999,0.8360576675032864,0.772866243094144,0.7380939146868483,0.0006926198455034483,0.0017736437823721674,1.5607752851536465,0.0015540659263793884,2.422663215989408,1720553.5518388865,71.01909751563292,42021.95,1.189854349998284e-06,5917.0,0.0,150202.5322195634,-0.32221413209272703,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
18,湖南,湖南省,2009,2018,13059.69,36329.7,1.7818194765725675,6406.0,6635.0,0.03574773649703403,,,17328.38772155945,93791.80714892803,4.412610143310397,116936.9,0.8020719477677964,0.772866243094144,0.7380939146868483,0.0006933324069686307,0.0015808992154667896,1.2801461457409073,0.001343397772000952,2.5816840532382055,1413591.6676552831,54.75463451394122,36425.78,-0.0026376923157171036,6635.0,0.0,133235.1833795125,-0.2960432464616525,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
19,广东,广东省,2009,2018,39923.24,99945.2,1.503434090018746,10130.0,12348.0,0.21895360315893386,,,56533.135563321164,191259.40686816652,2.3831381359334345,210598.09999999998,0.9081725184992958,0.772866243094144,0.7380939146868483,0.0009725027967433352,0.0021844628463300233,1.2462278295190865,0.002034552873224963,1.9136427449058737,1548910.0005520452,80.94039520570132,97277.77,0.02742075604734764,11346.0,0.08831306187202538,183809.70094075685,0.040529449149208724,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;RAW_POP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
20,广西,广西壮族自治区,2009,2018,7784.98,19627.8,1.5212396178281768,4856.0,4947.0,0.01873970345963756,,,14497.49160096258,67306.70883876627,3.6426451341621986,90100.90000000001,0.7470148338003978,0.772866243094144,0.7380939146868483,0.0006223369520165091,0.0011783408437595181,0.8934129492735949,0.0009501146266690368,3.429151959912281,1360556.071129296,39.67616737416616,19627.81,-5.09481190312993e-07,4947.0,0.0,64293.150573042774,0.046872151059074635,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
