turn,u_hjb_converged,g1_hjb_converged,u_hjb_statistic_max,g1_hjb_statistic_max,u_transfer_abs_max,g1_transfer_abs_max,u_adjustment_cost_abs_max,g1_adjustment_cost_abs_max,u_mu_a_abs_max,g1_mu_a_abs_max,u_mu_b_abs_max,g1_mu_b_abs_max,g1_upper_hits,g1_lower_hits,g1_unsaturated
2,3,2,93.60849692706104,108.26330401241474,2530127.201755051,6678970.505444072,868781177899.5492,6519726000506.628,2530124.6089527626,6678969.141520067,868778648771.0205,6519719322533.494,31,0,0
3,2,3,2190.02388203734,41.719558173353654,4659460.571824673,9646878.787860999,2291672041431.5317,11787888542060.996,4659457.409983207,9646877.227724401,2291667382969.141,11787878896179.707,31,0,0
4,3,7,320.767703252626,12.450374112878029,8713178.777128998,11880590.263368346,10303359468760.824,29798002022668.055,8713176.700915001,11880589.316113666,10303350756580.58,29797990143076.42,31,0,0
5,3,6,296.31982292211325,70.4255064062228,15940480.69586875,6344935.365333311,30174248915872.58,4249477806798.4805,15940477.698811576,6344933.5870678,30174232976389.46,4249471462861.6616,31,0,0
