beta_distance,origin,top_destination,top_share,top_distance_raw,top_share_tie_count
2.0,上海,浙江,0.05862907567882934,165.833526,1
2.0,江苏,上海,0.05430234341029943,192.398329,1
2.0,浙江,上海,0.05692713006204481,165.833526,1
2.0,安徽,江苏,0.05047387146630215,236.814882,1
2.0,福建,江西,0.054497223164676416,373.786123,1
2.0,江西,湖北,0.05134716749265268,261.983469,1
2.0,山东,河北,0.051976665869915374,201.930688,1
2.0,河南,山西,0.045931237153869556,358.921098,1
2.0,湖北,江西,0.04912938619372496,261.983469,1
2.0,湖南,江西,0.050477523509347505,288.223334,1
2.0,广东,海南,0.0543920888923552,459.914771,1
2.0,广西,海南,0.05869325594095453,376.282297,1
2.0,海南,广西,0.06578639887078318,376.282297,1
2.0,重庆,四川,0.05342851172182465,259.819291,1
2.0,四川,重庆,0.05581233831774906,259.819291,1
2.0,贵州,重庆,0.05422336030181996,334.60893,1
2.0,云南,贵州,0.05938113697912646,432.912463,1
2.0,西藏,青海,0.0659844829156454,850.428854,1
2.0,陕西,宁夏,0.04567712286936358,430.154818,1
2.0,甘肃,宁夏,0.05605121264642626,276.290487,1
2.0,青海,甘肃,0.0580535984187196,628.474606,1
2.0,宁夏,甘肃,0.05402871526761931,276.290487,1
2.0,新疆,青海,0.07029815091863384,1109.744622,1
4.0,北京,天津,0.09063580680031494,110.003361,1
4.0,天津,北京,0.08821473538759986,110.003361,1
4.0,河北,天津,0.07503154115819402,192.933531,1
4.0,山西,河北,0.07091561192911672,259.315353,1
4.0,内蒙古,山西,0.07433432155986634,445.52285,1
4.0,辽宁,吉林,0.10671035596072367,281.716395,1
4.0,吉林,辽宁,0.12982288035640877,281.716395,1
4.0,黑龙江,吉林,0.15732975002695068,464.888496,1
4.0,上海,浙江,0.09211003108572362,165.833526,1
4.0,江苏,上海,0.079772555420093,192.398329,1
4.0,浙江,上海,0.08690881597530661,165.833526,1
4.0,安徽,江苏,0.07003919452591613,236.814882,1
4.0,福建,江西,0.07990235973903378,373.786123,1
4.0,江西,湖北,0.07211116037422156,261.983469,1
4.0,山东,河北,0.07410672609709183,201.930688,1
4.0,河南,山西,0.059337571361604544,358.921098,1
4.0,湖北,江西,0.06728357979849763,261.983469,1
4.0,湖南,江西,0.07058500029413173,288.223334,1
4.0,广东,海南,0.07886560982472182,459.914771,1
4.0,广西,海南,0.09086143263726357,376.282297,1
4.0,海南,广西,0.11206971470087385,376.282297,1
4.0,重庆,四川,0.0795615599892796,259.819291,1
4.0,四川,重庆,0.08673945076951076,259.819291,1
4.0,贵州,重庆,0.08011309341204484,334.60893,1
4.0,云南,贵州,0.0945626871458416,432.912463,1
4.0,西藏,青海,0.11572084209776447,850.428854,1
4.0,陕西,宁夏,0.059387608449896045,430.154818,1
4.0,甘肃,宁夏,0.08814250979736556,276.290487,1
4.0,青海,甘肃,0.09242377830597263,628.474606,1
4.0,宁夏,甘肃,0.08217013192913072,276.290487,1
4.0,新疆,青海,0.13155698776715405,1109.744622,1
