turn,province_index,province_name,hjb_converged,hjb_nonconverged_but_continued,hjb_iterations,hjb_convergence_statistic,hjb_acceptance_classification,downstream_kfe_attempted,downstream_kfe_returned,reconverged_after_prior_nonconvergence
3,4,内蒙古,True,False,27,9.748083229510485e-09,HJB_CONVERGED,True,True,False
3,5,辽宁,True,False,31,1.0303491393415243e-10,HJB_CONVERGED,True,True,False
3,6,吉林,True,False,25,6.999985657785146e-08,HJB_CONVERGED,True,True,False
3,7,黑龙江,True,False,13,1.0562871466390789e-08,HJB_CONVERGED,True,True,False
3,8,上海,True,False,13,2.3754017419719275e-08,HJB_CONVERGED,True,True,False
3,9,江苏,True,False,16,1.4232321987606156e-09,HJB_CONVERGED,True,True,False
3,10,浙江,True,False,14,1.659443205070943e-08,HJB_CONVERGED,True,True,False
3,11,安徽,False,True,100,0.2388886266642105,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
3,12,福建,True,False,15,5.991117268955293e-08,HJB_CONVERGED,True,True,False
3,13,江西,False,True,100,0.006139570367608371,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
3,14,山东,True,False,35,1.3525780495626805e-10,HJB_CONVERGED,True,True,False
3,15,河南,False,True,100,0.0061118030608948715,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
3,16,湖北,True,False,25,8.375832361018354e-08,HJB_CONVERGED,True,True,True
3,17,湖南,False,True,100,0.14034695335326774,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
3,18,广东,True,False,14,1.603722044052347e-09,HJB_CONVERGED,True,True,True
3,19,广西,True,False,13,6.91078532177869e-08,HJB_CONVERGED,True,True,True
3,20,海南,True,False,13,4.759209204507897e-08,HJB_CONVERGED,True,True,False
3,21,重庆,True,False,14,8.903779491475916e-09,HJB_CONVERGED,True,True,True
3,22,四川,False,True,100,0.312390659416125,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
3,23,贵州,False,True,100,0.27797930916365154,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
3,24,云南,True,False,13,2.5686959670423448e-08,HJB_CONVERGED,True,True,False
3,25,西藏,True,False,14,1.426678331029052e-09,HJB_CONVERGED,True,True,False
3,26,陕西,True,False,14,8.226059255989071e-08,HJB_CONVERGED,True,True,False
3,27,甘肃,True,False,79,6.016029896471764e-10,HJB_CONVERGED,True,True,True
3,28,青海,True,False,25,1.5927348329114466e-10,HJB_CONVERGED,True,True,False
3,29,宁夏,True,False,52,2.6987301282588305e-11,HJB_CONVERGED,True,True,True
3,30,新疆,False,True,100,0.05875201947849895,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
4,0,北京,True,False,61,2.4931652742310462e-08,HJB_CONVERGED,True,True,False
4,1,天津,True,False,21,3.80053322146523e-10,HJB_CONVERGED,True,True,False
4,2,河北,True,False,30,8.111042770764243e-08,HJB_CONVERGED,True,True,True
4,3,山西,False,True,100,0.014845889406699397,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
4,4,内蒙古,True,False,26,9.857376470634449e-09,HJB_CONVERGED,True,True,False
4,5,辽宁,False,True,100,0.1519690820952273,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
4,6,吉林,True,False,25,6.90684673898545e-08,HJB_CONVERGED,True,True,False
4,7,黑龙江,True,False,13,1.0562017926929457e-08,HJB_CONVERGED,True,True,False
4,8,上海,True,False,13,3.059637321278785e-08,HJB_CONVERGED,True,True,False
4,9,江苏,True,False,16,1.4258261238353498e-09,HJB_CONVERGED,True,True,False
4,10,浙江,True,False,14,1.654579806498191e-08,HJB_CONVERGED,True,True,False
4,11,安徽,False,True,100,0.37605318082114736,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
4,12,福建,True,False,15,5.962247540125531e-08,HJB_CONVERGED,True,True,False
4,13,江西,False,True,100,0.21878245791944817,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
4,14,山东,True,False,33,1.8558843351001997e-10,HJB_CONVERGED,True,True,False
4,15,河南,True,False,54,2.0658275090568168e-10,HJB_CONVERGED,True,True,True
4,16,湖北,True,False,24,1.7351897696471497e-11,HJB_CONVERGED,True,True,True
4,17,湖南,False,True,100,0.7491408133603334,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
4,18,广东,True,False,14,1.6198109520360049e-09,HJB_CONVERGED,True,True,True
4,19,广西,True,False,13,6.734238100492007e-08,HJB_CONVERGED,True,True,True
4,20,海南,True,False,13,4.6332498282453116e-08,HJB_CONVERGED,True,True,False
4,21,重庆,True,False,14,8.589022604255092e-09,HJB_CONVERGED,True,True,True
4,22,四川,False,True,100,0.06306044436255953,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
4,23,贵州,False,True,100,0.13316775544810677,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
4,24,云南,True,False,13,2.5872619158207044e-08,HJB_CONVERGED,True,True,False
4,25,西藏,True,False,14,1.427398199638219e-09,HJB_CONVERGED,True,True,False
4,26,陕西,True,False,14,7.989970796096202e-08,HJB_CONVERGED,True,True,False
4,27,甘肃,False,True,100,0.275072156458271,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
4,28,青海,True,False,25,1.7148948927570018e-10,HJB_CONVERGED,True,True,False
4,29,宁夏,False,True,100,0.00345311953888805,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
4,30,新疆,False,True,100,0.2650892016681361,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
5,0,北京,False,True,100,0.5031445674792121,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
5,1,天津,True,False,21,4.3410741668026276e-10,HJB_CONVERGED,True,True,False
5,2,河北,False,True,100,0.42902639289448663,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
5,3,山西,True,False,51,9.610942908189202e-08,HJB_CONVERGED,True,True,True
5,4,内蒙古,True,False,26,9.92183979420247e-09,HJB_CONVERGED,True,True,False
5,5,辽宁,True,False,49,5.681233261611851e-11,HJB_CONVERGED,True,True,True
5,6,吉林,True,False,25,7.087120756921195e-08,HJB_CONVERGED,True,True,False
5,7,黑龙江,True,False,13,1.05626600799269e-08,HJB_CONVERGED,True,True,False
5,8,上海,True,False,13,2.3547483518626677e-08,HJB_CONVERGED,True,True,False
5,9,江苏,True,False,16,1.4370411527409033e-09,HJB_CONVERGED,True,True,False
5,10,浙江,True,False,14,1.665277293838585e-08,HJB_CONVERGED,True,True,False
5,11,安徽,False,True,100,0.21794176292490453,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
5,12,福建,True,False,15,5.975580519290702e-08,HJB_CONVERGED,True,True,False
5,13,江西,False,True,100,0.15792562602803084,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
5,14,山东,False,True,100,0.029048161131411954,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
5,15,河南,False,True,100,0.03312321764471293,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
5,16,湖北,True,False,28,8.401359608001258e-10,HJB_CONVERGED,True,True,True
5,17,湖南,False,True,100,0.36642386322854814,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
5,18,广东,True,False,14,1.634986812604211e-09,HJB_CONVERGED,True,True,True
5,19,广西,True,False,13,6.83088181574476e-08,HJB_CONVERGED,True,True,True
5,20,海南,True,False,13,4.6072509363170866e-08,HJB_CONVERGED,True,True,False
5,21,重庆,True,False,14,8.686843910865605e-09,HJB_CONVERGED,True,True,True
5,22,四川,False,True,100,1.144916806642156,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
5,23,贵州,False,True,100,0.002727302612400173,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
5,24,云南,True,False,13,2.5777165735263452e-08,HJB_CONVERGED,True,True,False
5,25,西藏,True,False,14,1.4280665538990434e-09,HJB_CONVERGED,True,True,False
5,26,陕西,True,False,14,8.09293112524756e-08,HJB_CONVERGED,True,True,False
5,27,甘肃,False,True,100,0.2916079135927605,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
5,28,青海,True,False,25,1.780460223699265e-10,HJB_CONVERGED,True,True,False
5,29,宁夏,False,True,100,5.272883720763843e-07,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
5,30,新疆,True,False,30,5.051204343686777e-09,HJB_CONVERGED,True,True,True
6,0,北京,True,False,28,7.487050979193555e-10,HJB_CONVERGED,True,True,True
6,1,天津,True,False,24,3.6378589030050534e-10,HJB_CONVERGED,True,True,False
6,2,河北,True,False,13,7.775793786635177e-09,HJB_CONVERGED,True,True,True
6,3,山西,True,False,13,1.0107091164002213e-08,HJB_CONVERGED,True,True,True
6,4,内蒙古,True,False,25,9.057507233123374e-08,HJB_CONVERGED,True,True,False
6,5,辽宁,True,False,15,4.1250566518158394e-08,HJB_CONVERGED,True,True,True
6,6,吉林,True,False,26,1.5372827455450988e-09,HJB_CONVERGED,True,True,False
6,7,黑龙江,True,False,42,2.457094083752054e-09,HJB_CONVERGED,True,True,False
6,8,上海,True,False,28,8.617208280270461e-08,HJB_CONVERGED,True,True,False
6,9,江苏,True,False,14,1.4525416425215099e-09,HJB_CONVERGED,True,True,False
6,10,浙江,True,False,16,3.848605878431499e-10,HJB_CONVERGED,True,True,False
6,11,安徽,True,False,14,4.2789682908050963e-10,HJB_CONVERGED,True,True,True
6,12,福建,True,False,15,6.236347882548898e-09,HJB_CONVERGED,True,True,False
6,13,江西,True,False,14,1.5705277078836843e-09,HJB_CONVERGED,True,True,True
6,14,山东,True,False,16,1.0571526765090766e-08,HJB_CONVERGED,True,True,True
6,15,河南,True,False,13,5.201735486792813e-09,HJB_CONVERGED,True,True,True
6,16,湖北,True,False,13,4.964905819804244e-09,HJB_CONVERGED,True,True,True
6,17,湖南,True,False,14,3.158864281260776e-10,HJB_CONVERGED,True,True,True
6,18,广东,True,False,13,1.4169943440833777e-08,HJB_CONVERGED,True,True,True
6,19,广西,True,False,14,2.846657132238306e-09,HJB_CONVERGED,True,True,True
6,20,海南,True,False,15,4.893411009732063e-09,HJB_CONVERGED,True,True,False
6,21,重庆,True,False,13,1.170216457069273e-08,HJB_CONVERGED,True,True,True
6,22,四川,True,False,14,1.7474555136232084e-10,HJB_CONVERGED,True,True,True
6,23,贵州,True,False,13,2.089666484295094e-08,HJB_CONVERGED,True,True,True
6,24,云南,True,False,13,1.5119774321448176e-08,HJB_CONVERGED,True,True,False
