turn,province_index,province_name,Ktarget_2018_MU,Kt_supply_private_MU,GovInv_before_MU,GovInv_after_MU,firm_K_total_MU,firm_K_total_over_Ktarget,private_K_over_Ktarget,GovInv_before_over_Ktarget,GovInv_after_over_Ktarget,Ltarget_proxy_NU,firm_Lt_supply,firm_Lt_over_population_proxy,net_destination_labor_gain_loss_NU,top_origin_index,top_origin_province,top_origin_contribution,top_origin_share_of_destination_supply,A,B,L,C,firm_ra0,firm_ra_used,household_rah,firm_wage_raw,firm_wage_used,household_composite_wage,Y,Zt,nk_gap,yt_gap,GDP_level_gap,govinv_action,kfe_diagnostic_status,hjb_converged,hjb_iterations,hjb_statistic,hjb_acceptance_classification,downstream_kfe_attempted,downstream_kfe_returned,continuation_status
1,11,安徽,70182433.35888097,218901.27196706057,70182433.35888097,70182433.35888097,70401334.63084802,1.003119032234857,0.0031190322348571085,1.0,1.0,607600.0,5563581.62615384,9.156651787613297,4955981.62615384,18,广东,498890.83104357653,0.08967080283289827,8.633994914935972,-1.7331237220247262,0.6370528935500427,11.708814550329276,0.6252174790117927,0.09,0.08895777765800762,2.919570942362542,1.3,18.29792118969518,60883704.3726967,1.681124916844091,3.217986383681237,0.7901232949641643,0.7901232949641643,NONE,DIAGNOSTIC_ONLY,False,100,0.18862667495966345,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
2,11,安徽,70182433.35888097,216208.5743633005,70182433.35888097,70182433.35888097,70398641.93324427,1.00308066511826,0.003080665118259842,1.0,1.0,607600.0,5702289.631168382,9.384940143463433,5094689.631168382,18,广东,517254.28418264055,0.09070992840408505,9.149755911167238,-0.9696515794481817,0.6196408117332461,10.975802632034135,0.6703966883993964,0.09,0.08895777765800762,3.04636257681302,1.3,17.311000688618247,61275920.39077438,1.681124916844091,0.4041347320375226,0.006442052469027626,0.8016553631563521,NONE,DIAGNOSTIC_ONLY,False,100,0.009406184163712084,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
3,11,安徽,70182433.35888097,215056.31806861,70182433.35888097,70182433.35888097,70397489.67694958,1.0030642471025322,0.003064247102532197,1.0,1.0,607600.0,5698556.820464843,9.378796610376634,5090956.820464843,18,广东,513759.2803400861,0.0901560336285596,6.938805490546091,4.627794221651275,0.6311215626575029,9.376687096663806,0.6760865678329562,0.09,0.08895790152286001,3.073250074492751,1.3,17.478366873511785,61264672.08315778,1.681124916844091,0.13082750385260478,0.00018356815442122087,0.8013246366064344,NONE,DIAGNOSTIC_ONLY,False,100,0.2388886266642105,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
5,11,安徽,70182433.35888097,217499.2631330089,77200676.69476907,77200676.69476907,77418175.95790207,1.1030990556001503,0.003099055600150209,1.1,1.1,607600.0,5690644.147899305,9.365773778636118,5083044.147899305,18,广东,513723.8898304747,0.09027517386061036,8.955395615482185,-1.5869743107464647,0.6358364727077255,11.110687752005218,0.3160239919547026,0.09,0.08895790152286001,1.5881272172334917,1.3,17.479046853534133,36479310.14073658,0.9335160028837199,0.12129760766150244,0.4044060541533022,0.07257703091469447,NONE,DIAGNOSTIC_ONLY,False,100,0.21794176292490453,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
10,11,安徽,70182433.35888097,213634.52917296757,93412818.8006706,102754100.68073766,93626453.32984357,1.3340439886300404,0.003043988630039913,1.3310000000000004,1.4641000000000004,607600.0,5946635.848532705,9.78708994162723,5339035.848532705,18,广东,537600.1600593163,0.09040408287182505,7.312852589982883,4.669796311604178,0.6762356526859418,9.175878470617223,0.26593597698577065,0.09,0.08895641272127919,1.6253938838907203,1.3,15.43599195760647,36508706.901036315,0.8026621510333826,0.04252667631442031,0.00013373254132109658,0.07344136441659344,HIGH_RA_INCREASE_1P1,DIAGNOSTIC_ONLY,True,13,6.800505314430438e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
15,11,安徽,70182433.35888097,214939.2651099324,124332461.82369259,124332461.82369259,124547401.08880252,1.7746235792641143,0.0030625792641134427,1.7715610000000008,1.7715610000000008,607600.0,5946973.164928542,9.78764510356903,5339373.164928542,18,广东,537950.5500109931,0.0904578741305716,7.313173331880733,4.6695882331849505,0.6764533982750354,9.161202216159609,0.19093626332968114,0.09,0.0889487406654498,1.6047162008396239,1.3,15.406365039873869,36482200.058170386,0.6497322487178648,0.11888311259401574,0.00017048081495651957,0.07266200124578837,NONE,DIAGNOSTIC_ONLY,True,13,7.823208081347843e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
20,11,安徽,70182433.35888097,204322.30011702882,150442278.80666804,165486506.68733487,150646601.10678506,2.146500112591523,0.00291130259152198,2.143588810000001,2.3579476910000015,607600.0,5921584.980143115,9.745860730979452,5313984.980143115,18,广东,538161.4958307679,0.0908813261374088,7.313366071887794,4.669463375313407,0.6765840934564624,9.15240668940438,0.15141475905638546,0.09,0.08894415240023633,1.592539642075998,1.3,15.388613493705444,36451986.899057485,0.5647763055376298,0.04770047492505536,0.000728162893724571,0.07177366370950145,HIGH_RA_INCREASE_1P1,DIAGNOSTIC_ONLY,True,13,8.07391384860523e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
21,11,安徽,70182433.35888097,207942.8014525687,165486506.68733487,165486506.68733487,165694449.48878744,2.360910580593602,0.002962889593600211,2.3579476910000015,2.3579476910000015,607600.0,5920668.965590469,9.744353136258177,5313068.965590469,18,广东,538126.6868201621,0.0908895075788948,7.31333464108387,4.669484731255562,0.6765650106132887,9.153834481756036,0.1353671455510885,0.09,0.0889423941012197,1.5925260473899796,1.3,15.391400592178275,36485448.970103085,0.526954826994806,0.12046389221953024,0.0009179766013376334,0.0727575268547167,NONE,DIAGNOSTIC_ONLY,True,13,8.013556751507167e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
22,11,安徽,70182433.35888097,200004.04859216287,165486506.68733487,182035157.35606837,165686510.73592702,2.3607974646402146,0.0028497736402132616,2.3579476910000015,2.5937424601000023,607600.0,5928083.116118213,9.756555490648804,5320483.116118213,18,广东,538526.6810116592,0.0908433081087253,7.313775548523385,4.66919534075081,0.6768544071814595,9.133793385469438,0.1350529731885928,0.09,0.08894235027953612,1.5873422594817141,1.3,15.351353826506625,36496118.94798971,0.526954826994806,0.043580658214748436,0.0002924447468186653,0.0730712491580554,HIGH_RA_INCREASE_1P1,DIAGNOSTIC_ONLY,True,13,8.698643005899953e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
23,11,安徽,70182433.35888097,198282.3994574981,182035157.35606837,182035157.35606837,182233439.75552586,2.596567702685188,0.0028252425851861295,2.5937424601000023,2.5937424601000023,607600.0,5912294.195727454,9.73056977571997,5304694.195727454,18,广东,538485.5720221327,0.09107895415814588,7.313709307935219,4.669239671208221,0.6768128919810168,9.136794839343114,0.1201929341261499,0.09,0.08894016829397376,1.5880036000318496,1.3,15.357268204725454,36460973.02104236,0.49107161095617935,0.1215406511844015,0.0009630045046004065,0.07203787671135897,NONE,DIAGNOSTIC_ONLY,True,13,8.574610754763512e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
