turn,variable,ranking_path,rank,province_index,province,i_b,i_a,i_z,b,a,z,boundary_label,focal_value,focal_abs,matched_other_value,control_value,raw_value,raw_minus_control,raw_over_control_abs,control_liquid_label,raw_liquid_label,control_transfer_label,raw_transfer_label,control_consumption,raw_consumption,control_transfer,raw_transfer,control_adjustment_cost,raw_adjustment_cost,control_effective_return,raw_effective_return,control_mu_a,raw_mu_a,control_mu_b,raw_mu_b,control_hjb_statistic,raw_hjb_statistic
2,mu_b,C,1,10,浙江,7,18,1,0.5789473684210527,9.473684210526315,1.3,interior,-373568170.5538195,373568170.5538195,31.673823842709858,-373568170.5538195,31.673823842709858,373568202.2276433,8.478726599151372e-08,B,F,B,0,635.0734882337078,1.4871560949835754,-59494.269961068705,0.0,373627032.7926068,0.0,0.08446761179431558,0.5494028947755804,-59493.469741588546,5.204869529452866,-373568170.5538195,31.673823842709858,0.5400178991724138,128.87302678228772
2,mu_b,C,2,12,福建,18,15,0,4.63157894736842,7.894736842105263,0.8,interior,-288594222.7930242,288594222.7930242,-16.187702876587434,-288594222.7930242,-16.187702876587434,288594206.6053213,5.609156940122475e-08,B,B,B,B,1000.0,10.877148656069485,-47735.801405217804,6.893605330111911,288640960.1146038,6.70878782967519,0.08892778610168163,0.6051049295915292,-47735.09934374858,11.670749511097668,-288594222.7930242,-16.187702876587434,0.15063435238666067,9.178622417671534e-09
2,mu_b,C,3,17,湖南,6,16,0,0.21052631578947345,8.421052631578947,0.8,interior,-224727630.41602364,224727630.41602364,-53.95634537975812,-224727630.41602364,-53.95634537975812,224727576.45967826,2.40096623988213e-07,B,B,B,B,1000.0,12.575807820431576,43497.492694776476,-24.53020903738212,224683134.39871028,73.90859560958576,0.08808336266030328,0.4673922305704923,43498.23444940941,-20.594274464156925,-224727630.41602364,-53.95634537975812,2.409349431122121,3.4423551717394876
2,mu_b,C,4,12,福建,17,15,0,4.263157894736842,7.894736842105263,0.8,interior,-204570430.11948758,204570430.11948758,-1988.021952202159,-204570430.11948758,-1988.021952202159,204568442.09753537,9.718031834028871e-06,B,B,B,B,1000.0,1000.0,-40190.88697086043,-92.01017904222451,204609622.51926443,1081.5449372393025,0.08892778610168163,0.6051049295915292,-40190.18490939121,-87.23303486123875,-204570430.11948758,-1988.021952202159,0.15063435238666067,9.178622417671534e-09
2,mu_b,C,5,14,山东,18,13,0,4.63157894736842,6.842105263157895,0.8,interior,-154163941.04013634,154163941.04013634,-22073.11144308477,-154163941.04013634,-22073.11144308477,154141867.92869326,0.00014317947046604154,B,B,B,B,171.94104998224728,17.89726771303548,-32480.83696693696,-391.61781480922895,154196252.94048157,22453.975201812886,0.0897042326217767,0.35218313623470904,-32480.22320113481,-389.208140719202,-154163941.04013634,-22073.11144308477,0.1841505401377468,403.687024399525
2,mu_b,C,6,17,湖南,4,16,0,-0.5263157894736843,8.421052631578947,0.8,interior,-138446138.5821448,138446138.5821448,-12.536869992096644,-138446138.5821448,-12.536869992096644,138446126.0452748,9.055413260701448e-08,B,0,B,B,283.83631479990225,8.993072221360555,-34148.479593094824,-14.74090066164286,138480005.54721093,27.277770653739505,0.08808336266030328,0.4673922305704923,-34147.73783846189,-10.804966088417661,-138446138.5821448,-12.536869992096644,2.409349431122121,3.4423551717394876
2,mu_b,C,7,29,宁夏,7,11,1,0.5789473684210527,5.789473684210526,1.3,interior,-96079507.79194167,96079507.79194167,-74.00336557005666,-96079507.79194167,-74.00336557005666,96079433.7885761,7.702304817205093e-07,B,F,B,B,152.1336352360983,1.705201671288584,-23587.535578115865,-27.159618624303253,96102948.37472832,130.12735088547035,0.08993423508437084,0.4127416569047397,-23587.014906228535,-24.77006166327581,-96079507.79194167,-74.00336557005666,0.21185086631295968,292.40527522380705
2,mu_b,C,8,10,浙江,6,18,1,0.21052631578947345,9.473684210526315,1.3,interior,-80891108.2557442,80891108.2557442,48.54580160187048,-80891108.2557442,48.54580160187048,80891156.8015458,6.001376745684922e-07,B,F,B,0,785.7438532133945,0.5556937355336118,-27686.918663200646,0.0,80918012.2262612,0.0,0.08446761179431558,0.5494028947755804,-27686.11844372049,5.204869529452866,-80891108.2557442,48.54580160187048,0.5400178991724138,128.87302678228772
2,mu_b,C,9,17,湖南,14,18,1,3.1578947368421053,9.473684210526315,1.3,interior,-76689321.70009865,76689321.70009865,-52225.57559403673,-76689321.70009865,-52225.57559403673,76637096.12450461,0.0006810019235568432,B,B,B,B,279.8449908426482,36.58236244647231,-26958.443230330642,-707.490805260603,76716004.54796883,52905.86880851291,0.08446761179431558,0.4482061571577568,-26957.643010850486,-703.2446416664769,-76689321.70009865,-52225.57559403673,2.409349431122121,3.4423551717394876
2,mu_b,C,10,23,贵州,6,10,1,0.21052631578947345,5.263157894736842,1.3,interior,-68383671.85902095,68383671.85902095,-176.571740158465,-68383671.85902095,-176.571740158465,68383495.28728078,2.582074570702834e-06,B,F,B,B,241.41398676243372,3.923357461264184,-18973.736838640092,-34.421222997629144,68402408.40185781,228.55803490374046,0.0899721092559092,0.5568716766816727,-18973.263301222956,-31.490319436146656,-68383671.85902095,-176.571740158465,0.7351519392411485,1.943505024701882
