scope,n,left,right,pearson,spearman,classification
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_same_index_prior_raw_minus_used,raw_hjb_statistic,-0.1214381225960379,-0.10239496459480724,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_same_index_prior_raw_minus_used,raw_hit_iteration_ceiling,-0.08367284449664358,-0.12116593856769131,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_same_index_prior_raw_minus_used,raw_mu_b_abs_max,0.1394701470346782,-0.13826593233674273,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_same_index_prior_raw_minus_used,raw_mu_a_abs_max,0.11190537759772165,-0.15736900078678204,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_same_index_prior_raw_minus_used,raw_transfer_abs_max,0.11190875886875284,-0.14768843430369785,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_same_index_prior_raw_minus_used,raw_adjustment_cost_abs_max,0.13947050612463904,-0.13368371361132964,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_same_index_prior_raw_minus_used,raw_lower_b_outward_count,0.04648944357301771,0.10082632710234815,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_same_index_prior_raw_minus_used,raw_upper_b_outward_count,-0.32639838170526925,-0.38591405720253985,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_same_index_prior_raw_minus_used,raw_only_lower_b_outward_count,0.04648944357301771,0.10082632710234815,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_same_index_prior_raw_minus_used,raw_upper_a_outward_count,0.07325113924741528,-0.048280154460856074,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_same_index_prior_raw_minus_used,raw_only_upper_a_outward_count,0.03267213432272881,-0.13324803683332753,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_same_index_prior_raw_minus_used,raw_only_upper_b_outward_count,-0.20679460428984334,-0.33162603677720903,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_hjb_statistic,raw_hit_iteration_ceiling,0.09980376624087837,0.5120975516823181,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_hjb_statistic,raw_mu_b_abs_max,-0.024644464799824062,0.762599527930763,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_hjb_statistic,raw_mu_a_abs_max,0.027623926973432685,0.7655704169944925,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_hjb_statistic,raw_transfer_abs_max,0.02762362999172664,0.7638709677419353,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_hjb_statistic,raw_adjustment_cost_abs_max,-0.02464428202381579,0.7684468922108576,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_hjb_statistic,raw_lower_b_outward_count,-0.0554880685146826,-0.11639489450728989,DESCRIPTIVE_ONLY_NOT_CAUSAL
MATCHED_RAW_PROVINCE_TURNS_2_5,124,raw_hjb_statistic,raw_upper_b_outward_count,-0.01839792075161471,0.34468489594940604,DESCRIPTIVE_ONLY_NOT_CAUSAL
