turn,province_index,province,control_converged,raw_converged,raw_new_nonconvergence,raw_recovers_control_nonconvergence,control_iterations,raw_iterations,control_hit_iteration_ceiling,raw_hit_iteration_ceiling,control_hjb_statistic,raw_hjb_statistic,raw_minus_control_hjb_statistic,raw_over_control_hjb_statistic,control_entering_rah,raw_entering_rah,raw_minus_control_entering_rah,raw_over_control_entering_rah,control_same_index_prior_firm_ra0,raw_same_index_prior_firm_ra0,control_same_index_prior_firm_used_ra,raw_same_index_prior_firm_used_ra,control_same_index_prior_raw_minus_used,raw_same_index_prior_raw_minus_used,control_consumption_abs_max,raw_consumption_abs_max,raw_minus_control_consumption_abs_max,raw_over_control_consumption_abs_max,control_labor_abs_max,raw_labor_abs_max,raw_minus_control_labor_abs_max,raw_over_control_labor_abs_max,control_transfer_abs_max,raw_transfer_abs_max,raw_minus_control_transfer_abs_max,raw_over_control_transfer_abs_max,control_adjustment_cost_abs_max,raw_adjustment_cost_abs_max,raw_minus_control_adjustment_cost_abs_max,raw_over_control_adjustment_cost_abs_max,control_effective_illiquid_return_abs_max,raw_effective_illiquid_return_abs_max,raw_minus_control_effective_illiquid_return_abs_max,raw_over_control_effective_illiquid_return_abs_max,control_mu_a_abs_max,raw_mu_a_abs_max,raw_minus_control_mu_a_abs_max,raw_over_control_mu_a_abs_max,control_mu_b_abs_max,raw_mu_b_abs_max,raw_minus_control_mu_b_abs_max,raw_over_control_mu_b_abs_max,control_lower_a_outward_count,raw_lower_a_outward_count,raw_only_lower_a_outward_count,control_upper_a_outward_count,raw_upper_a_outward_count,raw_only_upper_a_outward_count,control_lower_b_outward_count,raw_lower_b_outward_count,raw_only_lower_b_outward_count,control_upper_b_outward_count,raw_upper_b_outward_count,raw_only_upper_b_outward_count
2,0,北京,True,False,True,False,60,100,False,True,3.67104124876505e-11,3.076863389935667,3.076863389898957,83814459752.27693,0.09,0.8951047990241248,0.8051047990241248,9.945608878045832,0.9645303327953562,0.9645303327953562,0.09,0.09,0.8745303327953562,0.8745303327953562,13.937304276648625,1000.0,986.0626957233513,71.74988650247512,0.764108377441972,1.4740756211647033,0.7099672437227312,1.9291446929289133,2.354145672773112,18763.615659588006,18761.261513915233,7970.456491541171,0.789614752140948,39351242.125060014,39351241.33544526,49836001.69369142,0.09,0.8951047990241248,0.8051047990241248,9.945608878045832,1.5441456727731118,18755.901152133076,18754.3570064603,12146.458383327,7.505634886086854,39332718.89598863,39332711.39035374,5240425.292855563,0,0,0,0,36,36,0,0,0,29,22,10
2,1,天津,False,False,False,False,100,100,True,True,0.08176884448841326,1.235987033972187,1.1542181894837737,15.115623092207544,0.09000000000000001,0.405116859228528,0.315116859228528,4.501298435872533,0.3665893670146143,0.3665893670146143,0.09,0.09,0.27658936701461434,0.27658936701461434,76.38088149601407,1000.0,923.6191185039859,13.092281476905773,1.4307064400985485,2.301298526003714,0.8705920859051655,1.6085050444346907,7.292217508003427,581888.5999131615,581881.3076956535,79795.83703784498,6.672470500780357,40208136385.54179,40208136378.869316,6025974394.4674425,0.09000000000000001,0.405116859228528,0.315116859228528,4.501298435872533,6.51654780798554,581891.9387721305,581885.4222243226,89294.50928896212,68.90097811456883,40208719271.620285,40208719202.71931,583572546.7461588,0,0,0,1,21,21,0,0,0,29,16,5
2,2,河北,False,False,False,False,100,100,True,True,0.013001805762292928,68.74181969292948,68.7288178871672,5287.097880841326,0.09,0.3368268115116994,0.2468268115116994,3.7425201279077713,0.3295641733702322,0.3295641733702322,0.09,0.09,0.2395641733702322,0.2395641733702322,1000.0,1000.0,0.0,1.0,1.0412585570046962,2.5881822324245363,1.54692367541984,2.485628775882284,131.41655045705141,28789.106977010615,28657.690426553563,219.06758986509283,1836.118793637839,112484599.8402796,112482763.72148596,61262.158107655836,0.09,0.3368268115116994,0.2468268115116994,3.7425201279077713,130.61633097689474,28786.640986233302,28656.024655256406,220.3908253350455,2702.0556341335446,112456298.96154428,112453596.90591013,41618.79479495066,0,0,0,9,22,18,0,0,0,2,6,4
2,3,山西,False,False,False,False,100,100,True,True,0.0020999340299163727,73.89497987018633,73.89287993615642,35189.19109717419,0.09,0.4291478483179544,0.3391478483179544,4.7683094257550485,0.4263907062621223,0.4263907062621223,0.09,0.09,0.3363907062621223,0.3363907062621223,1000.0,1000.0,0.0,1.0,0.7650254502139896,2.192392844463385,1.4273673942493952,2.865777659880646,185.62062405892775,44381.25809638577,44195.63747232684,239.09658919310792,4110.095221433955,207916801.09326598,207912690.99804455,50586.85745502672,0.09,0.4291478483179544,0.3391478483179544,4.7683094257550485,184.8788694259989,44377.44240229586,44192.56353286986,240.03523247451886,4921.814446113752,207872527.09541017,207867605.28096405,42234.93782045067,0,0,0,4,23,19,0,0,0,28,10,2
2,4,内蒙古,True,False,True,False,98,100,False,True,4.2227551677598285e-08,1.9866210212992903,1.9866209790717386,47045612.221775874,0.09,0.3343835179213207,0.2443835179213207,3.715372421348008,0.2961838594568849,0.2961838594568849,0.09,0.09,0.20618385945688492,0.20618385945688492,13.452552585456274,1000.0,986.5474474145437,74.33533477364828,0.768363409228716,2.3017323247868497,1.5333689155581336,2.995629798531571,2.3350883999177374,31446.803237903616,31444.468149503697,13467.071841482084,0.7787726235348117,268419248.1629678,268419247.38419518,344669599.3814288,0.09,0.3343835179213207,0.2443835179213207,3.715372421348008,1.5250883999177374,31448.03516177419,31446.510073374273,20620.467091265324,7.265100168032308,268451693.50421613,268451686.23911595,36950859.21670424,0,0,0,0,12,12,0,0,0,29,10,3
2,5,辽宁,True,False,True,False,51,100,False,True,2.9820552693848867e-09,1.5383982027023597,1.5383981997203044,515885207.92898905,0.09000000000000002,0.3578891591493693,0.2678891591493693,3.976546212770769,0.3451706684814465,0.3451706684814465,0.09,0.09,0.25517066848144654,0.25517066848144654,12.929704556330066,1000.0,987.0702954436699,77.34128770254263,0.7731451204900941,2.065692626085944,1.2925475055958497,2.671804518117515,2.3141011709564356,1927157.8816090904,1927155.5675079194,832788.9488135825,0.7669165400378382,415087325141.1569,415087325140.39,541241847673.1214,0.09000000000000002,0.3578891591493693,0.2678891591493693,3.976546212770769,1.5041011709564354,1927160.9660954983,1927159.4619943274,1281270.8369012475,7.004058338582787,415089253296.65375,415089253289.6497,59264105641.45067,0,0,0,0,15,15,0,0,0,29,30,10
2,6,吉林,True,False,True,False,14,100,False,True,8.718852306799363e-10,0.36280792571989096,0.3628079248480057,416118902.9856104,0.09,0.28267394001491747,0.19267394001491747,3.1408215557213053,0.2502570646414367,0.2502570646414367,0.09,0.09,0.16025706464143671,0.16025706464143671,12.443584965530423,1000.0,987.5564150344695,80.36269312823178,0.7777841705285774,0.9982925404474933,0.22050836991891587,1.2835084310973566,2.294156471983038,2620.188508890561,2617.894352418578,1142.114123813754,0.7557310389924699,869877.8096530271,869877.0539219881,1151041.5277010933,0.09,0.28267394001491747,0.19267394001491747,3.1408215557213053,1.484156471983038,2622.3935586865405,2620.9094022145573,1766.9252590211465,6.759791829828709,873496.6152447404,873489.8554529105,129219.45486402271,0,0,0,0,27,27,0,0,0,29,4,0
2,7,黑龙江,True,False,True,False,13,100,False,True,2.146602184893709e-08,5.06139308481729,5.061393063351268,235786263.53946015,0.08999999999999998,0.3157928975260931,0.2257928975260931,3.5088099725121458,0.30504659658446637,0.30504659658446637,0.09,0.09,0.21504659658446637,0.21504659658446637,11.646617072984581,1000.0,988.3533829270154,85.86184243316401,0.7858334329436425,2.3456857231676587,1.5598522902240162,2.9849655471910723,2.2604735756732843,13154.282635955064,13152.02216237939,5819.259635466894,0.7370214361990448,18266136.993070204,18266136.25604877,24783725.541650504,0.08999999999999998,0.3157928975260931,0.2257928975260931,3.5088099725121458,1.4504735756732845,13157.090454047237,13155.639980471564,9070.892896438974,6.355897117049902,18279680.03207105,18279673.676173933,2876018.8680580137,0,0,0,0,23,23,0,0,0,28,36,8
2,8,上海,False,True,False,True,100,84,True,False,0.08752053060717047,2.8244073746463982e-12,-0.08752053060434606,3.2271369415292344e-11,0.08999999999999998,0.8436338107969246,0.7536338107969246,9.37370900885472,0.8992913814531691,0.8992913814531691,0.09,0.09,0.8092913814531691,0.8092913814531691,1000.0,1000.0,0.0,1.0,1.452417847548901,1.144655853116085,-0.3077619944328158,0.7881036817661015,990.3031199835189,106.60270168197945,-883.7004183015395,0.10764653723776371,465931.65830031695,1147.7208877338715,-464783.9374125831,0.002463281614991927,0.08999999999999998,0.8436338107969246,0.7536338107969246,9.37370900885472,990.492593652337,99.00999738480714,-891.4825962675299,0.09996036115698576,467039.6969390181,2072.680723413697,-464967.0162156044,0.004437911246084782,0,0,0,15,23,16,0,0,0,2,2,0
2,9,江苏,False,False,False,False,100,100,True,True,0.008757661974225783,0.04125789953135639,0.03250023755713061,4.711063255556147,0.09,0.530939108697046,0.440939108697046,5.899323429967177,0.5336284710994464,0.5336284710994464,0.09,0.09,0.4436284710994465,0.4436284710994465,1000.0,1000.0,0.0,1.0,0.7840648345505123,1.260894711177883,0.47682987662737064,1.608151080899741,130.41031660069592,104.59772938035194,-25.812587220343985,0.8020663710266137,1808.2086030044097,2527.1681835421778,718.959580537768,1.397608760041949,0.09,0.530939108697046,0.440939108697046,5.899323429967177,129.61009712053925,99.81927740207853,-29.790819718460725,0.7701504714501153,2676.2447873201063,3443.173930203896,766.9291428837896,1.2865691309395373,0,0,0,13,15,8,0,0,0,2,2,0
