turn,variable,cells_per_path,control_min,raw_min,raw_minus_control_min,raw_over_control_min,control_median,raw_median,raw_minus_control_median,raw_over_control_median,control_p95,raw_p95,raw_minus_control_p95,raw_over_control_p95,control_p99,raw_p99,raw_minus_control_p99,raw_over_control_p99,control_max,raw_max,raw_minus_control_max,raw_over_control_max,control_abs_max,raw_abs_max,raw_minus_control_abs_max,raw_over_control_abs_max
2,consumption,24800,0.7937988306162564,0.04077447451818816,-0.7530243560980683,0.051366256720904176,8.870479297924279,8.438424997380597,-0.43205430054368144,0.9512930151762168,1000.0,1000.0,0.0,1.0,1000.0,1000.0,0.0,1.0,1000.0,1000.0,0.0,1.0,1000.0,1000.0,0.0,1.0
2,labor,24800,0.10371205074586895,0.09951615758994645,-0.004195893155922503,0.9595428580792031,0.7390187369547173,0.7262142222457669,-0.012804514708950387,0.9826736264337301,0.7806443382622869,1.2752564796812191,0.4946121414189323,1.6335947334479337,0.9526345918249272,2.110166294915394,1.1575317030904668,2.2150846851708645,2.0074809243886755,5.979246947570465,3.971766023181789,2.9784825723269495,2.0074809243886755,5.979246947570465,3.971766023181789,2.9784825723269495
2,transfer,24800,-59494.269961068705,-293813.0044721664,-234318.73451109772,4.938509282733093,0.0,-1.109425180703811,-1.109425180703811,,3.526025069255687,49.293059736743885,45.7670346674882,13.979781416344046,68.18608337443256,417.6950665972168,349.50898322278425,6.1258111028831745,43497.492694776476,1927157.8816090904,1883660.3889143139,44.305033743715505,59494.269961068705,1927157.8816090904,1867663.6116480217,32.39232757827209
2,adjustment_cost,24800,0.0,0.0,0.0,,0.11225914540198453,4.8466145901387625,4.734355444736778,43.173449902755834,1157.1257103640146,5045.041429169991,3887.915718805976,4.3599769532239465,24971.598995140084,459428.5245992946,434456.9256041545,18.398041899067316,373627032.7926068,415087325141.1569,414713698108.3643,1110.9670572781172,373627032.7926068,415087325141.1569,414713698108.3643,1110.9670572781172
2,effective_illiquid_return,24800,0.08099999999999997,0.2544065460134257,0.17340654601342576,3.140821555721306,0.08998065190509749,0.4766907374650511,0.38671008555995356,5.297702643539595,0.08999999999997352,0.8409325467497311,0.7509325467497575,9.34369496388865,0.09,0.8951020035676773,0.8051020035676774,9.945577817418638,0.09000000000000002,0.8951047990241248,0.8051047990241247,9.945608878045828,0.09000000000000002,0.8951047990241248,0.8051047990241247,9.945608878045828
2,mu_a,24800,-59493.469741588546,-293809.28708087734,-234315.8173392888,4.938513224342869,0.24834471834578342,0.0,-0.24834471834578342,0.0,4.047572020767533,51.293826004714425,47.24625398394689,12.672739543986589,68.70628391706126,421.6856631453027,352.97937922824144,6.13751230752547,43498.23444940941,1927160.9660954983,1883662.7316460889,44.30434914173083,59493.469741588546,1927160.9660954983,1867667.4963539098,32.392815118468846
2,mu_b,24800,-373568170.5538195,-415089253296.65375,-414715685126.0999,1111.1472711427175,2.144943588369295,-2.6071969149185206,-4.752140503287816,-1.2155083840226568,6.804855998419731,16.16109023257485,9.356234234155119,2.374934934159942,11.29566195886413,37.068792515816725,25.773130556952594,3.281683946528468,43.614003330181944,98.37981132485515,54.76580799467321,2.255693213486182,373568170.5538195,415089253296.65375,414715685126.0999,1111.1472711427175
3,consumption,24800,1.2528153177878836,0.08252029688930365,-1.1702950208985798,0.0658678862859141,8.881634501501058,9.058556581072306,0.1769220795712485,1.0199199910265782,1000.0,1000.0,0.0,1.0,1000.0,1000.0,0.0,1.0,1000.0,1000.0,0.0,1.0,1000.0,1000.0,0.0,1.0
3,labor,24800,0.10439393658934856,0.09947846973690222,-0.004915466852446343,0.9529142494953307,0.7377266380352234,0.6933355224260576,-0.044391115609165865,0.939827148268101,0.7800242825004446,1.2149176248370137,0.43489334233656907,1.557538210147094,0.9363530313984213,1.8924631964490104,0.9561101650505891,2.0211000904462937,1.5987773832483196,4.950610245306789,3.35183286205847,3.0964975469244975,1.5987773832483196,4.950610245306789,3.35183286205847,3.0964975469244975
3,transfer,24800,-828009.9277773291,-2736218.759510891,-1908208.831733562,3.304572406342842,0.0,-0.8331655536345612,-0.8331655536345612,,4.192716741224108,56.07584564866956,51.883128907445446,13.374584812113405,96.22454830074076,505.58442592308063,409.35987762233987,5.25421459337927,438550.2580000919,787483.7035814755,348933.44558138365,1.7956521270164445,828009.9277773291,2736218.759510891,1908208.831733562,3.304572406342842
